BackendTime,state,value
1697124451232.9104,2,0
1697124451906.4912,2,0
1697124452304.7131,2,0
1697124452818.5098,2,0
1697124453311.3623,2,0
1697124453812.4695,2,0
1697124454322.8848,2,0
1697124454876.8271,2,0
1697124455329.703,2,0
1697124455840.2822,2,0
1697124456337.2283,2,0
1697124456847.2266,2,0
1697124457359.9736,2,0
1697124457853.6433,2,0
1697124458354.9436,2,0
1697124458856.8171,2,0
1697124459372.6667,2,0
1697124459874.3826,2,0
1697124460378.015,2,0
1697124460876.0142,2,0
1697124461378.1487,2,0
1697124461882.3713,2,0
1697124462385.6638,2,0
1697124462900.9314,2,0
1697124463458.7278,2,0
1697124463924.2534,2,0
1697124464395.8335,2,0
1697124464900.3145,2,0
1697124465401.2434,2,0
1697124465908.8503,2,0
1697124466417.6648,2,0
1697124466918.303,2,0
1697124467421.5361,2,0
1697124467946.103,2,0
1697124468448.1577,2,0
1697124468930.8167,2,0
1697124469426.523,2,0
1697124469928.5522,2,0
1697124470442.0142,2,0
1697124470941.9485,2,0
1697124471436.5007,2,0
1697124471947.0178,2,0
1697124472450.6794,2,0
1697124472954.426,2,0
1697124473467.5186,2,0
1697124473963.1377,2,0
1697124474468.3923,2,0
1697124474995.3025,2,0
1697124475473.8386,2,0
1697124475977.5386,2,0
1697124476490.1094,2,0
1697124476995.074,2,0
1697124477494.2642,2,0
1697124478001.22,2,0
1697124478491.3892,2,0
1697124478998.4727,2,0
1697124479502.3823,2,0
1697124480003.653,2,0
1697124480508.0068,2,0
1697124481008.936,2,0
1697124481576.6829,2,0
1697124482038.1829,2,0
1697124482533.1921,2,0
1697124483045.8975,2,0
1697124483557.7441,2,0
1697124484064.1213,2,0
1697124484571.073,2,0
1697124485071.2607,2,0
1697124485596.9253,2,0
1697124486088.066,2,0
1697124486603.7368,2,0
1697124487095.7495,2,0
1697124487586.5825,2,0
1697124488090.2317,2,0
1697124488590.0164,2,0
1697124489095.9834,2,0
1697124489596.2139,2,0
1697124490095.6025,2,0
1697124490599.7168,2,0
1697124491103.971,2,0
1697124491608.775,2,0
1697124492119.9314,2,0
1697124492624.789,2,0
1697124493136.0054,2,0
1697124493641.2852,2,0
1697124494133.3247,2,0
1697124494644.7598,2,0
1697124495155.7466,2,0
1697124495645.0356,2,0
1697124496152.3372,2,0
1697124496661.1738,2,0
1697124497160.3528,2,0
1697124497672.9146,2,0
1697124498170.1904,2,0
1697124498670.7136,2,0
1697124499183.7625,2,0
1697124499706.088,2,0
1697124500179.925,2,0
1697124500697.1218,2,0
1697124501187.8154,2,0
1697124501705.9019,2,0
1697124502197.7253,2,0
1697124502713.2722,2,0
1697124503201.6929,2,0
1697124503736.032,2,0
1697124504202.7297,2,0
1697124504738.3923,2,0
1697124505279.4014,2,0
1697124505730.1892,2,0
1697124506231.3176,2,0
1697124506755.7856,2,0
1697124507246.1775,2,0
1697124507745.9993,2,0
1697124508247.4329,2,0
1697124508751.9065,2,0
1697124509254.9824,2,0
1697124509780.3445,2,0
1697124510362.2812,2,0
1697124510772.925,2,0
1697124511276.1987,2,0
1697124511812.7393,2,0
1697124512281.4758,2,0
1697124512796.627,2,0
1697124513293.8848,2,0
1697124513800.7803,2,0
1697124514331.2732,2,0
1697124514810.0112,2,0
1697124515308.6096,2,0
1697124515817.4382,2,0
1697124516324.5054,2,0
1697124516825.9248,2,0
1697124517331.853,2,0
1697124517844.663,2,0
1697124518350.2349,2,0
1697124518857.665,2,0
1697124519364.325,2,0
1697124519868.271,2,0
1697124520374.2205,2,0
1697124520872.959,2,0
1697124521369.0425,2,0
1697124521888.0059,2,0
1697124522385.3442,2,0
1697124522887.8098,2,0
1697124523409.6384,2,0
1697124523897.7078,2,0
1697124524402.1758,2,0
1697124524954.3613,2,0
1697124525419.645,2,0
1697124525939.5015,2,0
1697124526449.889,2,0
1697124526935.4546,2,0
1697124527446.6262,2,0
1697124527948.7864,2,0
1697124528477.8604,2,0
1697124528971.5188,2,0
1697124529471.7793,2,0
1697124529976.1897,2,0
1697124530476.7483,2,0
1697124530981.1797,2,0
1697124531506.2961,2,0
1697124531974.9734,2,0
1697124532492.9534,2,0
1697124532989.7473,2,0
1697124533499.0508,2,0
1697124533992.6362,2,0
1697124534500.0994,2,0
1697124535064.016,2,0
1697124535528.4783,2,0
1697124536025.7212,2,0
1697124536530.986,2,0
1697124537035.3708,2,0
1697124537537.152,2,0
1697124538045.575,2,0
1697124538548.8662,2,0
1697124539056.3572,2,0
1697124539569.1396,2,0
1697124540096.2969,2,0
1697124540577.8818,2,0
1697124541079.8662,2,0
1697124541597.8523,2,0
1697124542076.272,2,0
1697124542591.2683,2,0
1697124543125.4973,2,0
1697124543606.2756,2,0
1697124544089.2942,2,0
1697124544607.848,2,0
1697124545106.1047,2,0
1697124545596.4998,2,0
1697124546103.9773,2,0
1697124546604.819,2,0
1697124547111.1597,2,0
1697124547631.3481,2,0
1697124548119.8145,2,0
1697124548640.7754,2,0
1697124549117.4685,2,0
1697124549635.4958,2,0
1697124550125.6438,2,0
1697124550632.1443,2,0
1697124551150.2458,2,0
1697124551664.3232,2,0
1697124552164.2124,2,0
1697124552646.7012,2,0
1697124553150.493,2,0
1697124553662.1428,2,0
1697124554167.5825,2,0
1697124554662.4937,2,0
1697124555161.5876,2,0
1697124555666.7776,2,0
1697124556178.6633,2,0
1697124556773.845,2,0
1697124557180.4177,2,0
1697124557706.6433,2,0
1697124558196.36,2,0
1697124558706.8792,2,0
1697124559198.094,2,0
1697124559765.2668,2,0
1697124560214.3308,2,0
1697124560709.2412,2,0
1697124561228.0132,2,0
1697124561734.4202,2,0
1697124562225.4045,2,0
1697124562775.722,2,0
1697124563248.9104,2,0
1697124563782.9438,2,0
1697124564274.823,2,0
1697124564772.9097,2,0
1697124565294.3289,2,0
1697124565803.662,2,0
1697124566271.7678,2,0
1697124566769.5613,2,0
1697124567275.4077,2,0
1697124567849.9392,2,0
1697124568296.5073,2,0
1697124568798.6033,2,0
1697124569302.5078,2,0
1697124569817.435,2,0
1697124570322.2493,2,0
1697124570819.233,2,0
1697124571359.0188,2,0
1697124571818.3418,2,0
1697124572327.0066,2,0
1697124572830.9377,2,0
1697124573316.2795,2,0
1697124573822.2466,2,0
1697124574335.6108,2,0
1697124574841.5737,2,0
1697124575334.4297,2,0
1697124575842.6099,2,0
1697124576335.9238,2,0
1697124576870.93,2,0
1697124577356.6716,2,0
1697124577860.075,2,0
1697124578362.5906,2,0
1697124578860.9736,2,0
1697124579397.3174,2,0
1697124579861.4534,2,0
1697124580378.4495,2,0
1697124580887.916,2,0
1697124581385.6902,2,0
1697124581886.2312,2,0
1697124582381.7012,2,0
1697124582943.669,2,0
1697124583433.6887,2,0
1697124583927.0608,2,0
1697124584416.9602,2,0
1697124584919.5596,2,0
1697124585424.3171,2,0
1697124585930.0977,2,0
1697124586528.915,2,0
1697124586947.313,2,0
1697124587440.3696,2,0
1697124587949.0132,2,0
1697124588435.882,2,0
1697124588949.771,2,0
1697124589458.1018,2,0
1697124589964.5222,2,0
1697124590469.8613,2,0
1697124590971.5413,2,0
1697124591469.9946,2,0
1697124591976.146,2,0
1697124592492.7317,2,0
1697124592993.2507,2,0
1697124593488.421,2,0
1697124593988.8171,2,0
1697124594497.16,2,0
1697124595001.0376,2,0
1697124595500.129,2,0
1697124596003.2773,2,0
1697124596536.1543,2,0
1697124597009.5261,2,0
1697124597503.458,2,0
1697124598009.2195,2,0
1697124598510.3188,2,0
1697124599025.8237,2,0
1697124599519.5742,2,0
1697124600044.293,2,0
1697124600545.4097,2,0
1697124601048.7205,2,0
1697124601576.8982,2,0
1697124602061.0178,2,0
1697124602556.288,2,0
1697124603133.8838,2,0
1697124603605.8037,2,0
1697124604120.884,2,0
1697124604611.1511,2,0
1697124605123.6238,2,0
1697124605622.1301,2,0
1697124606124.5833,2,0
1697124606626.0886,2,0
1697124607128.003,2,0
1697124607628.4219,2,0
1697124608132.2676,2,0
1697124608648.4512,2,0
1697124609148.4885,2,0
1697124609650.8496,2,0
1697124610154.7017,2,0
1697124610665.3018,2,0
1697124611148.9883,2,0
1697124611660.969,2,0
1697124612158.7825,2,0
1697124612709.3003,2,0
1697124613161.973,2,0
1697124613683.0808,2,0
1697124614186.2097,2,0
1697124614684.6265,2,0
1697124615195.4788,2,0
1697124615718.4326,2,0
1697124616216.03,2,0
1697124616726.9434,2,0
1697124617228.5498,2,0
1697124617723.4348,2,0
1697124618229.4878,2,0
1697124618747.5647,2,0
1697124619247.9502,2,0
1697124619750.458,2,0
1697124620314.4082,2,0
1697124620769.1504,2,0
1697124621264.5762,2,0
1697124621769.398,2,0
1697124622277.6108,2,0
1697124622796.642,2,0
1697124623279.976,2,0
1697124623787.7637,2,0
1697124624293.102,2,0
1697124624820.6548,2,0
1697124625314.9985,2,0
1697124625808.6094,2,0
1697124626307.8025,2,0
1697124626813.5974,2,0
1697124627309.017,2,0
1697124627816.6252,2,0
1697124628333.6367,2,0
1697124628830.068,2,0
1697124629336.2805,2,0
1697124629829.8987,2,0
1697124630333.8337,2,0
1697124630845.6018,2,0
1697124631420.5708,2,0
1697124631904.9087,2,0
1697124632398.6619,2,0
1697124632865.2915,2,0
1697124633366.0186,2,0
1697124633866.897,2,0
1697124634375.5798,2,0
1697124634875.0278,2,0
1697124635380.5288,2,0
1697124635885.193,2,0
1697124636391.4565,2,0
1697124636888.446,2,0
1697124637396.182,2,0
1697124637902.7751,2,0
1697124638409.8586,2,0
1697124638944.6797,2,0
1697124639420.6567,2,0
1697124639923.4116,2,0
1697124640454.7786,2,0
1697124640929.2173,2,0
1697124641436.5273,2,0
1697124641937.3271,2,0
1697124642441.0745,2,0
1697124642942.8213,2,0
1697124643432.0989,2,0
1697124643942.7197,2,0
1697124644452.304,2,0
1697124644943.8384,2,0
1697124645459.8562,2,0
1697124645964.6257,2,0
1697124646473.257,2,0
1697124646976.0295,2,0
1697124647498.1294,2,0
1697124648008.855,2,0
1697124648491.7695,2,0
1697124648999.9885,2,0
1697124649501.5405,2,0
1697124650010.7163,2,0
1697124650509.315,2,0
1697124651018.5093,2,0
1697124651517.2004,2,0
1697124652022.2043,2,0
1697124652530.3445,2,0
1697124653039.9812,2,0
1697124653532.7612,2,0
1697124654039.871,2,0
1697124654552.8662,2,0
1697124655099.8528,2,0
1697124655573.0344,2,0
1697124656068.7166,2,0
1697124656584.2314,2,0
1697124657071.5393,2,0
1697124657580.705,2,0
1697124658072.1853,2,0
1697124658582.4978,2,0
1697124659094.559,2,0
1697124659613.9424,2,0
1697124660105.2712,2,0
1697124660612.9602,2,0
1697124661099.9224,2,0
1697124661624.6628,2,0
1697124662117.48,2,0
1697124662609.6143,2,0
1697124663142.004,2,0
1697124663642.9214,2,0
1697124664129.0737,2,0
1697124664642.601,2,0
1697124665141.317,2,0
1697124665646.5999,2,0
1697124666136.1257,2,0
1697124666652.4392,2,0
1697124667148.574,2,0
1697124667658.1008,2,0
1697124668177.4119,2,0
1697124668677.2986,2,0
1697124669174.0603,2,0
1697124669671.1309,2,0
1697124670182.6426,2,0
1697124670734.3032,2,0
1697124671198.3364,2,0
1697124671747.71,2,0
1697124672218.1428,2,0
1697124672819.5833,2,0
1697124673273.003,2,0
1697124673769.8882,2,0
1697124674244.806,2,0
1697124674801.1777,2,0
1697124675266.0115,2,0
1697124675790.441,2,0
1697124676377.3418,2,0
1697124676828.0012,2,0
1697124677291.8328,2,0
1697124677811.1665,2,0
1697124678295.6016,2,0
1697124678804.045,2,0
1697124679372.571,2,0
1697124679837.7256,2,0
1697124680343.624,2,0
1697124680844.9075,2,0
1697124681351.0735,2,0
1697124681845.0815,2,0
1697124682325.3025,2,0
1697124682834.0603,2,0
1697124683359.3281,2,0
1697124683832.439,2,0
1697124684361.0151,2,0
1697124684842.4565,2,0
1697124685339.4688,2,0
1697124685882.0366,2,0
1697124686359.641,2,0
1697124686889.0215,2,0
1697124687357.9946,2,0
1697124687883.6792,2,0
1697124688363.7722,2,0
1697124688863.763,2,0
1697124689373.1204,2,0
1697124689876.0273,2,0
1697124690382.4565,2,0
1697124690887.3022,2,0
1697124691438.323,2,0
1697124691892.9934,2,0
1697124692396.6238,2,0
1697124692901.4841,2,0
1697124693398.924,2,0
1697124693910.5103,2,0
1697124694410.0479,2,0
1697124694912.5022,2,0
1697124695417.8665,2,0
1697124695918.8938,2,0
1697124696419.775,2,0
1697124696937.169,2,0
1697124697432.4011,2,0
1697124697931.5073,2,0
1697124698438.0842,2,0
1697124698935.958,2,0
1697124699435.112,2,0
1697124699950.8203,2,0
1697124700456.4514,2,0
1697124700991.0615,2,0
1697124701489.0898,2,0
1697124701958.6064,2,0
1697124702497.0571,2,0
1697124702985.9404,2,0
1697124703549.9834,2,0
1697124703971.684,2,0
1697124704482.774,2,0
1697124704988.012,2,0
1697124705486.9143,2,0
1697124705990.944,2,0
1697124706594.3772,2,0
1697124706995.3892,2,0
1697124707504.0728,2,0
1697124708003.2683,2,0
1697124708506.5933,2,0
1697124709002.7595,2,0
1697124709516.432,2,0
1697124710055.379,2,0
1697124710559.932,2,0
1697124711065.7578,2,0
1697124711549.717,2,0
1697124712052.6643,2,0
1697124712570.0312,2,0
1697124713075.8425,2,0
1697124713581.2146,2,0
1697124714076.7002,2,0
1697124714561.3176,2,0
1697124715092.8813,2,0
1697124715576.5422,2,0
1697124716071.7712,2,0
1697124716596.565,2,0
1697124717099.5786,2,0
1697124717612.3918,2,0
1697124718113.3557,2,0
1697124718614.9207,2,0
1697124719100.0723,2,0
1697124719618.801,2,0
1697124720122.8237,2,0
1697124720619.493,2,0
1697124721116.693,2,0
1697124721727.9272,2,0
1697124722205.7415,2,0
1697124722659.7107,2,0
1697124723155.3496,2,0
1697124723730.758,2,0
1697124724145.4504,2,0
1697124724706.0513,2,0
1697124725162.5415,2,0
1697124725652.4329,2,0
1697124726171.4294,2,0
1697124726683.9424,2,0
1697124727250.405,2,0
1697124727738.0298,2,0
1697124728209.9304,2,0
1697124728724.0469,2,0
1697124729200.1519,2,0
1697124729674.32,2,0
1697124730197.9497,2,0
1697124730675.3975,2,0
1697124731243.0369,2,0
1697124731695.879,2,0
1697124732215.3645,2,0
1697124732707.7932,2,0
1697124733233.3818,2,0
1697124733721.758,2,0
1697124734240.1934,2,0
1697124734749.4583,2,0
1697124735247.5793,2,0
1697124735761.3982,2,0
1697124736276.1853,2,0
1697124736752.8167,2,0
1697124737277.7197,2,0
1697124737758.4072,2,0
1697124738262.549,2,0
1697124738840.7092,2,0
1697124739366.944,2,0
1697124739807.5623,2,0
1697124740304.6226,2,0
1697124740814.615,2,0
1697124741314.5095,2,0
1697124741810.4502,2,0
1697124742319.366,2,0
1697124742824.029,2,0
1697124743317.3374,2,0
1697124743824.025,2,0
1697124744332.4072,2,0
1697124744849.1567,2,0
1697124745352.211,2,0
1697124745848.9116,2,0
1697124746351.3875,2,0
1697124746865.5637,2,0
1697124747359.039,2,0
1697124747861.131,2,0
1697124748361.159,2,0
1697124748875.5723,2,0
1697124749377.939,2,0
1697124749871.891,2,0
1697124750379.6206,2,0
1697124750876.1487,2,0
1697124751397.7957,2,0
1697124751906.241,2,0
1697124752416.9468,2,0
1697124752903.4797,2,0
1697124753418.242,2,0
1697124753922.9358,2,0
1697124754433.3293,2,0
1697124754932.2153,2,0
1697124755437.0337,2,0
1697124755951.7083,2,0
1697124756445.9346,2,0
1697124756940.6223,2,0
1697124757452.688,2,0
1697124757956.8428,2,0
1697124758461.0933,2,0
1697124758965.9304,2,0
1697124759468.6545,2,0
1697124759966.4214,2,0
1697124760471.1616,2,0
1697124760982.7593,2,0
1697124761477.1672,2,0
1697124761990.455,2,0
1697124762492.7834,2,0
1697124762993.2598,2,0
1697124763496.2622,2,0
1697124764016.3137,2,0
1697124764511.7478,2,0
1697124765014.3572,2,0
1697124765518.1936,2,0
1697124766024.496,2,0
1697124766559.0178,2,0
1697124767027.631,2,0
1697124767532.8691,2,0
1697124768022.8235,2,0
1697124768530.163,2,0
1697124769046.2996,2,0
1697124769547.5066,2,0
1697124770052.8337,2,0
1697124770559.6926,2,0
1697124771061.9695,2,0
1697124771583.234,2,0
1697124772068.7485,2,0
1697124772564.216,2,0
1697124773077.0344,2,0
1697124773572.736,2,0
1697124774090.3723,2,0
1697124774590.1433,2,0
1697124775091.0337,2,0
1697124775613.5635,2,0
1697124776096.0413,2,0
1697124776599.0312,2,0
1697124777102.109,2,0
1697124777600.3223,2,0
1697124778105.0234,2,0
1697124778611.8787,2,0
1697124779115.7703,2,0
1697124779638.9055,2,0
1697124780121.494,2,0
1697124780642.4075,2,0
1697124781130.5032,2,0
1697124781638.7568,2,0
1697124782137.0952,2,0
1697124782645.005,2,0
1697124783151.2532,2,0
1697124783648.392,2,0
1697124784191.1687,2,0
1697124784663.8857,2,0
1697124785166.755,2,0
1697124785677.247,2,0
1697124786177.8235,2,0
1697124786696.875,2,0
1697124787188.8394,2,0
1697124787696.21,2,0
1697124788193.178,2,0
1697124788695.159,2,0
1697124789200.8108,2,0
1697124789700.1306,2,0
1697124790203.7664,2,0
1697124790722.2725,2,0
1697124791222.3726,2,0
1697124791731.7832,2,0
1697124792232.4834,2,0
1697124792735.4082,2,0
1697124793240.6514,2,0
1697124793744.4746,2,0
1697124794246.4985,2,0
1697124794766.652,2,0
1697124795250.9521,2,0
1697124795750.1543,2,0
1697124796276.708,2,0
1697124796782.9714,2,0
1697124797280.784,2,0
1697124797787.7896,2,0
1697124798286.1655,2,0
1697124798783.0315,2,0
1697124799296.7397,2,0
1697124799792.797,2,0
1697124800293.2969,2,0
1697124800795.8953,2,0
1697124801311.174,2,0
1697124801819.0298,2,0
1697124802319.402,2,0
1697124802813.3872,2,0
1697124803317.972,2,0
1697124803822.6116,2,0
1697124804327.7322,2,0
1697124804828.8413,2,0
1697124805333.66,2,0
1697124805827.6946,2,0
1697124806340.2937,2,0
1697124806832.593,2,0
1697124807348.2578,2,0
1697124807852.85,2,0
1697124808349.4414,2,0
1697124808870.284,2,0
1697124809405.9856,2,0
1697124809893.7727,2,0
1697124810401.6335,2,0
1697124810904.5156,2,0
1697124811401.1675,2,0
1697124811912.3115,2,0
1697124812424.4524,2,0
1697124812932.2458,2,0
1697124813448.2378,2,0
1697124813944.935,2,0
1697124814450.7651,2,0
1697124814956.6062,2,0
1697124815472.9387,2,0
1697124815973.663,2,0
1697124816457.4,2,0
1697124816967.5298,2,0
1697124817473.5376,2,0
1697124817979.12,2,0
1697124818476.6128,2,0
1697124818977.8074,2,0
1697124819475.5652,2,0
1697124819990.4697,2,0
1697124820493.6567,2,0
1697124820989.8496,2,0
1697124821492.1665,2,0
1697124821997.18,2,0
1697124822513.163,2,0
1697124823020.7432,2,0
1697124823514.6465,2,0
1697124824008.391,2,0
1697124824511.336,2,0
1697124825025.3484,2,0
1697124825527.5044,2,0
1697124826023.332,2,0
1697124826545.695,2,0
1697124827042.5232,2,0
1697124827544.7383,2,0
1697124828046.0374,2,0
1697124828552.285,2,0
1697124829054.6006,2,0
1697124829558.5344,2,0
1697124830063.4854,2,0
1697124830570.2021,2,0
1697124831070.8235,2,0
1697124831577.329,2,0
1697124832082.0942,2,0
1697124832586.7454,2,0
1697124833094.5596,2,0
1697124833593.1292,2,0
1697124834093.6453,2,0
1697124834595.5522,2,0
1697124835092.505,2,0
1697124835606.5522,2,0
1697124836105.2097,2,0
1697124836610.7932,2,0
1697124837114.2788,2,0
1697124837615.9963,2,0
1697124838136.2122,2,0
1697124838624.2336,2,0
1697124839131.947,2,0
1697124839631.5266,2,0
1697124840136.9104,2,0
1697124840636.4568,2,0
1697124841137.557,2,0
1697124841673.0615,2,0
1697124842144.9417,2,0
1697124842650.2349,2,0
1697124843157.1858,2,0
1697124843673.2695,2,0
1697124844170.3635,2,0
1697124844692.2056,2,0
1697124845167.8337,2,0
1697124845711.291,2,0
1697124846173.52,2,0
1697124846688.5654,2,0
1697124847185.5703,2,0
1697124847693.7617,2,0
1697124848204.5159,2,0
1697124848699.4595,2,0
1697124849210.603,2,0
1697124849717.0725,2,0
1697124850210.6401,2,0
1697124850741.1274,2,0
1697124851236.5571,2,0
1697124851741.3022,2,0
1697124852238.732,2,0
1697124852752.424,2,0
1697124853260.1626,2,0
1697124853760.4214,2,0
1697124854258.5833,2,0
1697124854761.874,2,0
1697124855268.7332,2,0
1697124855771.431,2,0
1697124856341.702,2,0
1697124856785.261,2,0
1697124857283.7905,2,0
1697124857775.8694,2,0
1697124858286.0325,2,0
1697124858844.0198,2,0
1697124859305.5867,2,0
1697124859803.0854,2,0
1697124860304.7756,2,0
1697124860849.9487,2,0
