BackendTime,state,value
1697124451067.821,2,0
1697124451580.644,2,0
1697124452122.5283,2,0
1697124452582.924,2,0
1697124453076.5574,2,0
1697124453578.9946,2,0
1697124454080.9304,2,0
1697124454586.3867,2,0
1697124455080.0376,2,0
1697124455608.3037,2,0
1697124456102.6235,2,0
1697124456608.9705,2,0
1697124457109.177,2,0
1697124457604.5295,2,0
1697124458103.9934,2,0
1697124458615.5093,2,0
1697124459121.68,2,0
1697124459634.4243,2,0
1697124460136.434,2,0
1697124460637.1272,2,0
1697124461127.0537,2,0
1697124461631.277,2,0
1697124462635.6038,2,0
1697124463176.67,2,0
1697124463680.0078,2,0
1697124464234.785,2,0
1697124464688.2805,2,0
1697124465205.3196,2,0
1697124473264.3762,2,0
1697124473759.5576,2,0
1697124474258.4841,2,0
1697124474764.3596,2,0
1697124475285.4253,2,0
1697124475789.1519,2,0
1697124476269.7349,2,0
1697124476806.388,2,0
1697124477315.8206,2,0
1697124477808.6948,2,0
1697124478308.7886,2,0
1697124478794.476,2,0
1697124479280.6492,2,0
1697124479774.8716,2,0
1697124480288.5396,2,0
1697124480790.3389,2,0
1697124481295.475,2,0
1697124481797.1047,2,0
1697124482339.9888,2,0
1697124482803.077,2,0
1697124483341.289,2,0
1697124483811.1377,2,0
1697124484326.9395,2,0
1697124484803.5305,2,0
1697124485364.5522,2,0
1697124485824.1887,2,0
1697124486328.7195,2,0
1697124486852.806,2,0
1697124487341.6013,2,0
1697124487844.1587,2,0
1697124488361.8406,2,0
1697124488843.4438,2,0
1697124489355.7065,2,0
1697124489847.9392,2,0
1697124490376.1677,2,0
1697124490893.1045,2,0
1697124491367.7803,2,0
1697124491862.3499,2,0
1697124492367.0854,2,0
1697124492890.4265,2,0
1697124493371.732,2,0
1697124493880.1455,2,0
1697124494392.5002,2,0
1697124494882.4106,2,0
1697124495395.3057,2,0
1697124495893.239,2,0
1697124496463.4766,2,0
1697124496908.451,2,0
1697124497413.5496,2,0
1697124497925.511,2,0
1697124498453.2693,2,0
1697124498980.6333,2,0
1697124499442.6868,2,0
1697124499930.498,2,0
1697124500428.1284,2,0
1697124500947.6375,2,0
1697124501448.644,2,0
1697124501969.0652,2,0
1697124502450.5337,2,0
1697124502955.9211,2,0
1697124503489.6987,2,0
1697124503993.0828,2,0
1697124504457.9895,2,0
1697124505014.4092,2,0
1697124505467.1487,2,0
1697124506009.8625,2,0
1697124506485.236,2,0
1697124507003.7173,2,0
1697124507485.669,2,0
1697124507985.1985,2,0
1697124508491.654,2,0
1697124508998.3774,2,0
1697124509497.205,2,0
1697124510011.752,2,0
1697124510558.7449,2,0
1697124511020.1943,2,0
1697124511654.3196,2,0
1697124512032.396,2,0
1697124512520.4062,2,0
1697124513046.1646,2,0
1697124513537.3542,2,0
1697124514128.3906,2,0
1697124514653.5134,2,0
1697124515090.1914,2,0
1697124515594.6182,2,0
1697124516091.3992,2,0
1697124516570.4597,2,0
1697124517097.9055,2,0
1697124517611.8018,2,0
1697124518120.2915,2,0
1697124518605.3313,2,0
1697124519113.4517,2,0
1697124519612.3796,2,0
1697124520121.181,2,0
1697124520610.6052,2,0
1697124521112.8286,2,0
1697124521613.649,2,0
1697124522143.1672,2,0
1697124522644.1777,2,0
1697124523125.8872,2,0
1697124523640.7888,2,0
1697124524164.0447,2,0
1697124524656.726,2,0
1697124525161.9932,2,0
1697124525654.5828,2,0
1697124526150.913,2,0
1697124526658.477,2,0
1697124527147.53,2,0
1697124527656.885,2,0
1697124528182.4697,2,0
1697124528699.3271,2,0
1697124529185.1775,2,0
1697124529718.7373,2,0
1697124530190.0535,2,0
1697124530717.528,2,0
1697124531234.5403,2,0
1697124531733.0269,2,0
1697124532233.842,2,0
1697124532752.7932,2,0
1697124533249.3835,2,0
1697124533741.3066,2,0
1697124534241.7454,2,0
1697124534772.0469,2,0
1697124535261.1484,2,0
1697124535763.0742,2,0
1697124536289.3938,2,0
1697124536789.3552,2,0
1697124537293.4358,2,0
1697124537795.565,2,0
1697124538290.2747,2,0
1697124538801.1956,2,0
1697124539313.8848,2,0
1697124539802.756,2,0
1697124540314.503,2,0
1697124540825.1035,2,0
1697124541340.5405,2,0
1697124541838.2166,2,0
1697124542340.5999,2,0
1697124542846.6255,2,0
1697124543367.753,2,0
1697124543889.5166,2,0
1697124544353.2441,2,0
1697124544853.5134,2,0
1697124545356.7734,2,0
1697124545860.024,2,0
1697124546354.8132,2,0
1697124546872.4084,2,0
1697124547373.45,2,0
1697124547864.5457,2,0
1697124548375.4573,2,0
1697124548881.5398,2,0
1697124549379.047,2,0
1697124549879.5317,2,0
1697124550388.164,2,0
1697124550883.4377,2,0
1697124551403.6086,2,0
1697124551909.3052,2,0
1697124552418.2825,2,0
1697124552921.6719,2,0
1697124553427.352,2,0
1697124553922.618,2,0
1697124554452.972,2,0
1697124554940.9487,2,0
1697124555439.019,2,0
1697124555940.0747,2,0
1697124556571.5498,2,0
1697124556963.3154,2,0
1697124557468.2583,2,0
1697124557977.473,2,0
1697124558468.9705,2,0
1697124558992.2188,2,0
1697124559487.8157,2,0
1697124560001.0012,2,0
1697124560489.2441,2,0
1697124560991.609,2,0
1697124561504.827,2,0
1697124562010.258,2,0
1697124562506.9922,2,0
1697124563008.6284,2,0
1697124563513.5576,2,0
1697124564022.4424,2,0
1697124564524.9744,2,0
1697124565027.6594,2,0
1697124565574.3745,2,0
1697124566033.1233,2,0
1697124566560.085,2,0
1697124567042.0745,2,0
1697124567580.6418,2,0
1697124568090.8994,2,0
1697124568558.7756,2,0
1697124569055.7646,2,0
1697124569563.2544,2,0
1697124570066.7527,2,0
1697124570572.2888,2,0
1697124571077.509,2,0
1697124571724.7632,2,0
1697124572085.9949,2,0
1697124572596.2837,2,0
1697124573103.276,2,0
1697124573600.466,2,0
1697124574104.6843,2,0
1697124574636.2424,2,0
1697124575126.5283,2,0
1697124575624.0447,2,0
1697124576128.2275,2,0
1697124576632.5017,2,0
1697124577144.2502,2,0
1697124577649.375,2,0
1697124578150.5486,2,0
1697124578651.1152,2,0
1697124579161.6753,2,0
1697124579703.1033,2,0
1697124580175.9214,2,0
1697124580672.92,2,0
1697124581167.3848,2,0
1697124581672.3716,2,0
1697124582174.5818,2,0
1697124582680.0522,2,0
1697124583204.5835,2,0
1697124583720.0796,2,0
1697124584209.1714,2,0
1697124584724.4875,2,0
1697124585231.8633,2,0
1697124585726.9553,2,0
1697124586269.1187,2,0
1697124586741.4172,2,0
1697124587239.3613,2,0
1697124587751.4673,2,0
1697124588271.7864,2,0
1697124588774.5137,2,0
1697124589279.8198,2,0
1697124589759.171,2,0
1697124590278.551,2,0
1697124590805.2156,2,0
1697124591271.9927,2,0
1697124591775.9814,2,0
1697124592289.5762,2,0
1697124592790.8755,2,0
1697124593287.8774,2,0
1697124593789.632,2,0
1697124594300.591,2,0
1697124594795.7102,2,0
1697124595301.433,2,0
1697124595806.9202,2,0
1697124596309.1904,2,0
1697124596815.388,2,0
1697124597311.7812,2,0
1697124597823.7268,2,0
1697124598323.1553,2,0
1697124598835.546,2,0
1697124599347.1572,2,0
1697124599843.6794,2,0
1697124600342.8503,2,0
1697124600856.5645,2,0
1697124601348.1877,2,0
1697124601861.5273,2,0
1697124602360.4563,2,0
1697124602863.3093,2,0
1697124603358.794,2,0
1697124603870.6636,2,0
1697124604367.9001,2,0
1697124604866.9773,2,0
1697124605373.017,2,0
1697124605877.996,2,0
1697124606376.7173,2,0
1697124606877.9011,2,0
1697124607385.7083,2,0
1697124607888.6917,2,0
1697124608399.035,2,0
1697124608900.5999,2,0
1697124609403.3384,2,0
1697124609900.1619,2,0
1697124610410.3228,2,0
1697124610917.162,2,0
1697124611413.152,2,0
1697124611937.3342,2,0
1697124612443.1584,2,0
1697124612955.1606,2,0
1697124613458.0242,2,0
1697124613965.7642,2,0
1697124614452.448,2,0
1697124614976.72,2,0
1697124615478.379,2,0
1697124615968.5918,2,0
1697124616508.166,2,0
1697124616994.2734,2,0
1697124617498.3333,2,0
1697124618004.09,2,0
1697124618496.8562,2,0
1697124619071.397,2,0
1697124619503.2537,2,0
1697124620010.93,2,0
1697124620512.9695,2,0
1697124621008.335,2,0
1697124621527.1438,2,0
1697124622028.0256,2,0
1697124622527.2573,2,0
1697124623035.3965,2,0
1697124623547.955,2,0
1697124624040.1807,2,0
1697124624594.5994,2,0
1697124625091.478,2,0
1697124625574.3147,2,0
1697124626072.8413,2,0
1697124626567.2659,2,0
1697124627075.3394,2,0
1697124627585.5354,2,0
1697124628088.771,2,0
1697124628592.236,2,0
1697124629079.3865,2,0
1697124629602.8428,2,0
1697124630104.5068,2,0
1697124630615.5562,2,0
1697124631114.032,2,0
1697124631772.8738,2,0
1697124632141.6094,2,0
1697124632594.0027,2,0
1697124633102.632,2,0
1697124633593.9954,2,0
1697124634111.6316,2,0
1697124634618.3723,2,0
1697124635114.2432,2,0
1697124635724.3445,2,0
1697124636133.8567,2,0
1697124636648.0005,2,0
1697124637149.2048,2,0
1697124637648.0588,2,0
1697124638146.5457,2,0
1697124638654.0,2,0
1697124639157.6401,2,0
1697124640169.2856,2,0
1697124640683.305,2,0
1697124641159.3652,2,0
1697124641671.6423,2,0
1697124642178.5767,2,0
1697124642669.437,2,0
1697124643187.364,2,0
1697124643754.6887,2,0
1697124644206.3196,2,0
1697124644702.9138,2,0
1697124645209.6096,2,0
1697124645707.446,2,0
1697124646218.1934,2,0
1697124646736.14,2,0
1697124647282.7246,2,0
1697124647777.9736,2,0
1697124648265.2178,2,0
1697124648777.7861,2,0
1697124649258.7683,2,0
1697124649767.1228,2,0
1697124650263.9795,2,0
1697124650772.9443,2,0
1697124651314.7188,2,0
1697124651809.3862,2,0
1697124652332.858,2,0
1697124652807.1643,2,0
1697124653310.1482,2,0
1697124653786.2996,2,0
1697124654304.2212,2,0
1697124654821.7322,2,0
1697124655391.8743,2,0
1697124655888.009,2,0
1697124656364.2646,2,0
1697124656843.5183,2,0
1697124657352.6484,2,0
1697124657835.5767,2,0
1697124658357.0352,2,0
1697124658834.5295,2,0
1697124659364.0242,2,0
1697124659852.4126,2,0
1697124660387.9321,2,0
1697124660885.712,2,0
1697124661350.5537,2,0
1697124661849.7708,2,0
1697124662363.8206,2,0
1697124662961.2524,2,0
1697124663427.4653,2,0
1697124664028.1052,2,0
1697124664381.3098,2,0
1697124664889.1414,2,0
1697124665390.4146,2,0
1697124665891.3682,2,0
1697124666404.8462,2,0
1697124666897.7002,2,0
1697124667401.5178,2,0
1697124667909.4321,2,0
1697124668489.3438,2,0
1697124668911.9038,2,0
1697124669422.0588,2,0
1697124669917.282,2,0
1697124670447.872,2,0
1697124670933.4893,2,0
1697124671440.5027,2,0
1697124671952.8357,2,0
1697124672454.3733,2,0
1697124672964.9949,2,0
1697124673446.9841,2,0
1697124673963.4985,2,0
1697124674451.9727,2,0
1697124674957.9211,2,0
1697124675468.5024,2,0
1697124675972.6792,2,0
1697124676572.028,2,0
1697124677043.879,2,0
1697124677492.3328,2,0
1697124677999.517,2,0
1697124678501.1316,2,0
1697124678994.5493,2,0
1697124679519.6145,2,0
1697124680017.1084,2,0
1697124680514.4036,2,0
1697124681013.939,2,0
1697124681517.5725,2,0
1697124682028.8691,2,0
1697124682528.7417,2,0
1697124683021.861,2,0
1697124683524.7156,2,0
1697124684029.8381,2,0
1697124684525.9429,2,0
1697124685041.9297,2,0
1697124685541.1729,2,0
1697124686036.7312,2,0
1697124686539.7017,2,0
1697124687061.4863,2,0
1697124687604.944,2,0
1697124688054.6187,2,0
1697124688555.26,2,0
1697124689062.5527,2,0
1697124689576.3364,2,0
1697124690069.8064,2,0
1697124690577.524,2,0
1697124691096.3005,2,0
1697124691637.6133,2,0
1697124692150.533,2,0
1697124692658.9307,2,0
1697124693147.397,2,0
1697124693623.29,2,0
1697124694145.7249,2,0
