BackendTime,logicVoltage,depVoltage,system_status,system_time
1697124451430.8777,3252,16866,1025,2000046
1697124451934.1335,3252,16832,1025,2000547
1697124452373.3286,3252,16860,1025,2001047
1697124452890.8025,3252,16832,1025,2001553
1697124453886.4065,3252,16849,1025,2002561
1697124454440.9006,3252,16854,1025,2003074
1697124454948.3577,3252,16849,1025,2003579
1697124455440.7842,3252,16832,1025,2004076
1697124455912.4585,3252,16820,1025,2004580
1697124456403.977,3252,16854,1025,2005076
1697124456918.7803,3252,16832,1025,2005582
1697124457433.3767,3252,16860,1025,2006097
1697124457929.7085,3252,16820,1025,2006596
1697124458460.8162,3252,16860,1025,2007099
1697124458967.847,3252,16849,1025,2007601
1697124459438.84,3252,16849,1025,2008104
1697124459941.1108,3252,16866,1025,2008612
1697124460954.2712,3252,16889,1025,2009616
1697124461453.231,3252,16849,1025,2010121
1697124461956.0261,3252,16877,1025,2010619
1697124462456.5137,3252,16854,1025,2011125
1697124462987.264,3252,16832,1025,2011639
1697124463506.2695,3252,16889,1025,2012148
1697124463999.7605,3252,16854,1025,2012650
1697124464496.419,3252,16832,1025,2013158
1697124464989.3296,3252,16854,1025,2013656
1697124473537.023,3252,16820,1025,2022208
1697124474039.7837,3252,16854,1025,2022708
1697124474544.9062,3252,16849,1025,2023214
1697124475046.5396,3252,16849,1025,2023718
1697124475554.9807,3252,16832,1025,2024220
1697124476053.9766,3252,16860,1025,2024724
1697124476563.8743,3252,16832,1025,2025227
1697124477064.584,3252,16866,1025,2025733
1697124477570.6562,3252,16849,1025,2026237
1697124478082.4434,3252,16860,1025,2026750
1697124478572.7231,3252,16849,1025,2027243
1697124479078.529,3252,16860,1025,2027748
1697124479588.9812,3252,16849,1025,2028248
1697124480074.4006,3252,16843,1025,2028750
1697124480587.4897,3252,16866,1025,2029256
1697124481083.0723,3252,16854,1025,2029758
1697124481609.7554,3252,16832,1025,2030275
1697124482106.7297,3252,16820,1025,2030773
1697124482622.2795,3252,16849,1025,2031276
1697124483117.0854,3252,16843,1025,2031780
1697124483624.7932,3252,16860,1025,2032289
1697124484121.712,3252,16809,1025,2032790
1697124484638.265,3252,16889,1025,2033295
1697124485126.5186,3252,16872,1025,2033792
1697124485683.094,3252,16860,1025,2034330
1697124486132.2986,3252,16832,1025,2034801
1697124486636.245,3252,16820,1025,2035303
1697124487157.1653,3252,16889,1025,2035808
1697124487643.5867,3252,16900,1025,2036312
1697124488154.1245,3252,16820,1025,2036817
1697124488648.8892,3252,16854,1025,2037317
1697124489153.042,3252,16854,1025,2037822
1697124489682.9944,3252,16809,1025,2038339
1697124490158.499,3252,16849,1025,2038830
1697124490666.288,3252,16854,1025,2039332
1697124491164.46,3252,16872,1025,2039835
1697124491667.875,3252,16826,1025,2040340
1697124492182.5017,3252,16843,1025,2040846
1697124492725.4963,3252,16843,1025,2041362
1697124493183.0073,3252,16832,1025,2041854
1697124493705.4104,3252,16877,1025,2042358
1697124494190.3833,3252,16877,1025,2042857
1697124494690.333,3252,16843,1025,2043356
1697124495202.5496,3252,16820,1025,2043868
1697124495707.5596,3252,16815,1025,2044372
1697124496242.431,3252,16860,1025,2044900
1697124496754.4885,3252,16854,1025,2045423
1697124497245.8267,3252,16854,1025,2045918
1697124497766.1294,3252,16820,1025,2046435
1697124498272.592,3252,16843,1025,2046939
1697124498771.9548,3252,16820,1025,2047441
1697124499282.4543,3252,16832,1025,2047948
1697124500276.0735,3252,16866,1025,2048948
1697124500762.7266,3252,16849,1025,2049434
1697124501285.4094,3252,16860,1025,2049952
1697124501769.6648,3252,16820,1025,2050439
1697124502309.62,3252,16809,1025,2050961
1697124502793.6208,3252,16820,1025,2051460
1697124503289.482,3252,16849,1025,2051960
1697124503802.8232,3252,16820,1025,2052442
1697124504297.4573,3252,16872,1025,2052969
1697124504803.6814,3252,16849,1025,2053469
1697124505336.7573,3252,16872,1025,2053970
1697124505812.3464,3252,16843,1025,2054481
1697124506303.8618,3252,16877,1025,2054976
1697124506821.4546,3252,16854,1025,2055495
1697124507331.1611,3252,16832,1025,2055998
1697124507816.2747,3252,16820,1025,2056489
1697124508341.3813,3252,16820,1025,2057013
1697124508858.2542,3252,16860,1025,2057521
1697124509351.3298,3252,16843,1025,2058017
1697124509853.3474,3252,16832,1025,2058524
1697124510444.6602,3252,16820,1025,2059104
1697124510857.416,3252,16872,1025,2059529
1697124511427.4414,3252,16854,1025,2060083
1697124511868.22,3252,16889,1025,2060540
1697124512382.9663,3252,16815,1025,2061050
1697124512885.8618,3252,16820,1025,2061552
1697124513382.7998,3252,16826,1025,2062050
1697124513878.854,3252,16877,1025,2062553
1697124514388.9668,3252,16866,1025,2063064
1697124514898.1287,3252,16889,1025,2063569
1697124515405.6814,3252,16866,1025,2064073
1697124515911.535,3252,16854,1025,2064580
1697124516408.0903,3252,16832,1025,2065077
1697124516908.8967,3252,16820,1025,2065577
1697124517423.003,3252,16849,1025,2066085
1697124518439.3381,3252,16866,1025,2067101
1697124518930.175,3252,16843,1025,2067593
1697124519437.5222,3252,16872,1025,2068105
1697124519944.5415,3252,16866,1025,2068609
1697124520449.898,3252,16854,1025,2069113
1697124520953.5854,3252,16843,1025,2069617
1697124521440.646,3252,16866,1025,2070112
1697124522478.7268,3252,16854,1025,2071150
1697124522969.8552,3252,16872,1025,2071642
1697124523507.8877,3252,16854,1025,2072150
1697124523989.0415,3252,16854,1025,2072658
1697124524473.3936,3252,16854,1025,2073143
1697124524975.76,3252,16820,1025,2073643
1697124525469.0557,3252,16854,1025,2074143
1697124525984.984,3252,16854,1025,2074654
1697124526502.7554,3252,16820,1025,2075159
1697124526979.6345,3252,16860,1025,2075653
1697124527500.2776,3252,16877,1025,2076164
1697124528035.0327,3252,16872,1025,2076702
1697124528529.5222,3252,16866,1025,2077196
1697124529028.5098,3252,16854,1025,2077691
1697124529538.426,3252,16826,1025,2078200
1697124530029.6597,3252,16832,1025,2078700
1697124530524.998,3252,16854,1025,2079199
1697124531034.5122,3252,16849,1025,2079708
1697124531576.0054,3252,16872,1025,2080235
1697124532543.6174,3252,16832,1025,2081210
1697124533034.3413,3252,16854,1025,2081709
1697124533552.512,3252,16820,1025,2082224
1697124534057.8772,3252,16820,1025,2082727
1697124534556.9976,3252,16866,1025,2083226
1697124535094.3215,3252,16866,1025,2083754
1697124535583.081,3252,16854,1025,2084243
1697124536075.8733,3252,16832,1025,2084747
1697124536589.7961,3252,16815,1025,2085257
1697124537087.8574,3252,16854,1025,2085760
1697124537594.8936,3252,16832,1025,2086262
1697124538095.9963,3252,16854,1025,2086769
1697124538616.4065,3252,16854,1025,2087284
1697124539085.89,3252,16843,1025,2087759
1697124539601.8762,3252,16860,1025,2088274
1697124540122.9731,3252,16849,1025,2088791
1697124540624.2295,3252,16832,1025,2089296
1697124541126.7668,3252,16849,1025,2089794
1697124541660.8198,3252,16849,1025,2090326
1697124542125.422,3252,16854,1025,2090798
1697124543190.1804,3252,16820,1025,2091845
1697124543659.9324,3252,16866,1025,2092331
1697124544170.7056,3252,16832,1025,2092833
1697124544660.3853,3252,16854,1025,2093334
1697124545163.5576,3252,16820,1025,2093838
1697124545666.2517,3252,16854,1025,2094339
1697124546179.175,3252,16843,1025,2094844
1697124546691.624,3252,16854,1025,2095348
1697124547688.1072,3252,16832,1025,2096358
1697124548189.5173,3252,16809,1025,2096859
1697124548719.173,3252,16820,1025,2097374
1697124549211.1345,3252,16849,1025,2097877
1697124549716.3853,3252,16854,1025,2098386
1697124550211.211,3252,16826,1025,2098887
1697124550728.175,3252,16832,1025,2099394
1697124551230.1555,3252,16854,1025,2099896
1697124551740.6453,3252,16854,1025,2100411
1697124552741.8755,3252,16820,1025,2101416
1697124553246.5085,3252,16820,1025,2101919
1697124553743.2224,3252,16849,1025,2102418
1697124554266.5576,3252,16832,1025,2102935
1697124554798.8655,3252,16820,1025,2103461
1697124555271.6748,3252,16849,1025,2103947
1697124555781.9666,3252,16843,1025,2104452
1697124556338.721,3252,16815,1025,2104979
1697124556808.7107,3252,16866,1025,2105470
1697124557305.915,3252,16820,1025,2105977
1697124557817.5508,3252,16820,1025,2106481
1697124558313.7922,3252,16843,1025,2106983
1697124558807.1619,3252,16860,1025,2107483
1697124559317.6868,3252,16849,1025,2107987
1697124559824.3062,3252,16809,1025,2108492
1697124560322.859,3252,16849,1025,2108997
1697124560834.0876,3252,16820,1025,2109502
1697124561332.0728,3252,16854,1025,2110001
1697124561833.1448,3252,16849,1025,2110506
1697124562352.8262,3252,16854,1025,2111020
1697124562847.7502,3252,16854,1025,2111516
1697124563345.7732,3252,16820,1025,2112014
1697124563846.4297,3252,16872,1025,2112517
1697124564345.9043,3252,16820,1025,2113020
1697124564849.5432,3252,16832,1025,2113522
1697124565354.0803,3252,16815,1025,2114028
1697124565860.372,3252,16854,1025,2114536
1697124566367.1235,3252,16849,1025,2115040
1697124566872.541,3252,16832,1025,2115545
1697124567396.6235,3252,16849,1025,2116063
1697124567974.1917,3252,16832,1025,2116617
1697124568401.2654,3252,16854,1025,2117073
1697124568905.502,3252,16820,1025,2117577
1697124569405.819,3252,16877,1025,2118077
1697124569906.0007,3252,16820,1025,2118579
1697124570408.9517,3252,16877,1025,2119082
1697124570911.3962,3252,16860,1025,2119583
1697124571466.2415,3252,16889,1025,2120111
1697124571934.429,3252,16854,1025,2120604
1697124572439.7876,3252,16832,1025,2121110
1697124572947.5603,3252,16854,1025,2121616
1697124573445.963,3252,16866,1025,2122120
1697124573950.3823,3252,16860,1025,2122623
1697124574454.3608,3252,16866,1025,2123126
1697124574957.7634,3252,16832,1025,2123628
1697124575459.7961,3252,16832,1025,2124132
1697124575961.2747,3252,16832,1025,2124636
1697124576473.573,3252,16815,1025,2125142
1697124576976.8052,3252,16854,1025,2125643
1697124577472.9575,3252,16832,1025,2126147
1697124577986.2412,3252,16889,1025,2126653
1697124578491.319,3252,16849,1025,2127156
1697124578994.0103,3252,16832,1025,2127661
1697124579501.3013,3252,16889,1025,2128166
1697124580002.739,3252,16820,1025,2128671
1697124580502.1082,3252,16809,1025,2129173
1697124581008.1145,3252,16832,1025,2129675
1697124581512.5706,3252,16872,1025,2130179
1697124582016.1882,3252,16872,1025,2130684
1697124582520.097,3252,16832,1025,2131187
1697124583026.7095,3252,16860,1025,2131693
1697124583554.815,3252,16832,1025,2132206
1697124584064.7239,3252,16877,1025,2132707
1697124584536.7212,3252,16854,1025,2133209
1697124585066.9583,3252,16849,1025,2133723
1697124585548.4875,3252,16854,1025,2134212
1697124586048.5264,3252,16809,1025,2134713
1697124586565.0447,3252,16854,1025,2135235
1697124587037.7559,3252,16872,1025,2135714
1697124588049.2322,3252,16832,1025,2136719
1697124588546.4456,3252,16820,1025,2137218
1697124589560.2708,3252,16866,1025,2138229
1697124590061.8716,3252,16815,1025,2138731
1697124590566.8906,3252,16900,1025,2139234
1697124591075.0176,3252,16872,1025,2139742
1697124591576.9958,3252,16889,1025,2140246
1697124592069.1128,3252,16860,1025,2140745
1697124592585.4438,3252,16820,1025,2141254
1697124593081.3225,3252,16832,1025,2141751
1697124593581.1365,3252,16877,1025,2142255
1697124594085.4517,3252,16854,1025,2142757
1697124595088.802,3252,16849,1025,2143763
1697124595589.393,3252,16820,1025,2144265
1697124596091.6868,3252,16815,1025,2144766
1697124596604.9565,3252,16854,1025,2145272
1697124597101.0166,3252,16809,1025,2145772
1697124597603.8203,3252,16854,1025,2146272
1697124598103.4504,3252,16849,1025,2146776
1697124598600.8591,3252,16854,1025,2147275
1697124599105.8435,3252,16854,1025,2147779
1697124599614.665,3252,16854,1025,2148285
1697124600108.5364,3252,16860,1025,2148783
1697124601119.8035,3252,16866,1025,2149794
1697124601667.724,3252,16832,1025,2150315
1697124602129.1897,3252,16854,1025,2150801
1697124602646.2322,3252,16866,1025,2151309
1697124603188.4192,3252,16832,1025,2151846
1697124603720.3164,3252,16866,1025,2152375
1697124604201.023,3252,16854,1025,2152850
1697124604680.2332,3252,16832,1025,2153340
1697124605204.1536,3252,16820,1025,2153847
1697124605715.5818,3252,16843,1025,2154362
1697124606185.2573,3252,16820,1025,2154852
1697124606701.293,3252,16832,1025,2155354
1697124607181.1348,3252,16854,1025,2155857
1697124607714.3428,3252,16860,1025,2156367
1697124608734.7124,3252,16854,1025,2157394
1697124609221.8909,3252,16854,1025,2157893
1697124609725.4556,3252,16860,1025,2158396
1697124610232.2334,3252,16832,1025,2158900
1697124610732.58,3252,16809,1025,2159404
1697124611261.5796,3252,16854,1025,2159915
1697124611741.071,3252,16866,1025,2160416
1697124612248.4788,3252,16866,1025,2160922
1697124612760.4836,3252,16872,1025,2161425
1697124613260.6228,3252,16860,1025,2161929
1697124613766.3604,3252,16889,1025,2162434
1697124614275.3855,3252,16820,1025,2162936
1697124614760.24,3252,16860,1025,2163435
1697124615272.2876,3252,16877,1025,2163945
1697124615771.165,3252,16860,1025,2164447
1697124616293.9438,3252,16877,1025,2164955
1697124616780.2769,3252,16854,1025,2165452
1697124617282.7122,3252,16872,1025,2165952
1697124617788.659,3252,16820,1025,2166456
1697124618285.2048,3252,16866,1025,2166957
1697124618858.203,3252,16849,1025,2167499
1697124619314.2349,3252,16860,1025,2167981
1697124619817.4143,3252,16854,1025,2168484
1697124620365.379,3252,16820,1025,2169008
1697124620839.6165,3252,16900,1025,2169507
1697124621338.939,3252,16849,1025,2170006
1697124621842.1353,3252,16877,1025,2170510
1697124622346.455,3252,16854,1025,2171014
1697124622851.4106,3252,16866,1025,2171515
1697124623345.32,3252,16843,1025,2172014
1697124623846.972,3252,16826,1025,2172520
1697124624371.9927,3252,16809,1025,2173035
1697124624920.3262,3252,16843,1025,2173557
1697124625378.6267,3252,16826,1025,2174044
1697124625868.531,3252,16849,1025,2174535
1697124626373.4739,3252,16860,1025,2175039
1697124626869.4944,3252,16832,1025,2175543
1697124627379.0803,3252,16872,1025,2176046
1697124627931.4395,3252,16854,1025,2176576
1697124628391.8066,3252,16849,1025,2177066
1697124628918.2812,3252,16849,1025,2177565
1697124629400.5208,3252,16872,1025,2178068
1697124629902.3525,3252,16860,1025,2178573
1697124630408.9211,3252,16854,1025,2179080
1697124630900.9844,3252,16832,1025,2179577
1697124631476.035,3252,16820,1025,2180120
1697124631974.671,3252,16820,1025,2180621
1697124632486.5369,3252,16877,1025,2181153
1697124632916.8813,3252,16860,1025,2181589
1697124633417.785,3252,16843,1025,2182090
1697124633917.278,3252,16866,1025,2182590
1697124634434.3386,3252,16820,1025,2183102
1697124634963.982,3252,16866,1025,2183623
1697124635436.049,3252,16849,1025,2184112
