BackendTime,state,value
1697124451494.614,10,0
1697124451981.0962,10,0
1697124452488.5151,10,0
1697124452990.5315,10,0
1697124453497.0938,10,0
1697124453996.9966,10,0
1697124454493.995,10,0
1697124455013.294,10,0
1697124455556.6467,10,0
1697124456026.1863,10,0
1697124456545.312,10,0
1697124457052.7397,10,0
1697124457536.353,10,0
1697124458042.1943,10,0
1697124458544.0867,10,0
1697124459043.9182,10,0
1697124459559.0337,10,0
1697124460061.871,10,0
1697124460562.4314,10,0
1697124461066.0286,10,0
1697124461575.3445,10,0
1697124462071.9346,10,0
1697124462580.9546,10,0
1697124463113.3398,10,0
1697124463629.0708,10,0
1697124464100.357,10,0
1697124464604.4734,10,0
1697124465111.5576,10,0
1697124473156.6274,10,0
1697124473657.6094,10,0
1697124474167.0837,10,0
1697124474664.455,10,0
1697124475162.5234,10,0
1697124475677.088,10,0
1697124476172.731,10,0
1697124476713.2869,10,0
1697124477192.2686,10,0
1697124477688.3118,10,0
1697124478194.849,10,0
1697124478711.7117,10,0
1697124479193.7627,10,0
1697124479700.9612,10,0
1697124480215.1477,10,0
1697124480721.3904,10,0
1697124481228.892,10,0
1697124481724.3599,10,0
1697124482263.6428,10,0
1697124482739.3018,10,0
1697124483244.3662,10,0
1697124483767.75,10,0
1697124484270.364,10,0
1697124484773.5671,10,0
1697124485312.2617,10,0
1697124485764.6558,10,0
1697124486286.777,10,0
1697124486775.041,10,0
1697124487279.4336,10,0
1697124487781.8647,10,0
1697124488284.2268,10,0
1697124488785.4832,10,0
1697124489287.6223,10,0
1697124489796.7651,10,0
1697124490300.0757,10,0
1697124490814.2961,10,0
1697124491302.3403,10,0
1697124491806.0188,10,0
1697124492309.6792,10,0
1697124492813.685,10,0
1697124493314.819,10,0
1697124493816.2197,10,0
1697124494326.0315,10,0
1697124494818.2888,10,0
1697124495322.8203,10,0
1697124495824.881,10,0
1697124496399.8535,10,0
1697124496843.6438,10,0
1697124497345.542,10,0
1697124497852.8872,10,0
1697124498361.2087,10,0
1697124498860.679,10,0
