BackendTime,state,value
1697124451504.3606,10,0
1697124451987.9236,10,0
1697124452495.5945,10,0
1697124452997.6694,10,0
1697124453503.311,10,0
1697124454005.9531,10,0
1697124454499.9834,10,0
1697124455025.677,10,0
1697124455564.3093,10,0
1697124456032.3577,10,0
1697124456552.6116,10,0
1697124457060.3933,10,0
1697124457543.3484,10,0
1697124458050.1494,10,0
1697124458551.3657,10,0
1697124459051.7742,10,0
1697124459577.1199,10,0
1697124460069.1057,10,0
1697124460571.8447,10,0
1697124461074.3367,10,0
1697124461595.1572,10,0
1697124462079.058,10,0
1697124462591.0647,10,0
1697124463132.95,10,0
1697124463641.792,10,0
1697124464121.1843,10,0
1697124464613.2656,10,0
1697124465120.5732,10,0
1697124473171.4846,10,0
1697124473670.8323,10,0
1697124474175.0442,10,0
1697124474677.724,10,0
1697124475180.4617,10,0
1697124475704.951,10,0
1697124476211.9573,10,0
1697124476736.2888,10,0
1697124477201.1704,10,0
1697124477702.4343,10,0
1697124478202.9526,10,0
1697124478719.953,10,0
1697124479214.6077,10,0
1697124479725.6116,10,0
1697124480229.3154,10,0
1697124480741.22,10,0
1697124481243.0469,10,0
1697124481785.4531,10,0
1697124482272.278,10,0
1697124482774.1597,10,0
1697124483272.5352,10,0
1697124483775.9626,10,0
1697124484294.742,10,0
1697124484780.3855,10,0
1697124485340.2493,10,0
1697124485816.3333,10,0
1697124486321.6184,10,0
1697124486829.4304,10,0
1697124487333.8208,10,0
1697124487836.1248,10,0
1697124488339.3887,10,0
1697124488837.1128,10,0
1697124489341.2773,10,0
1697124489841.583,10,0
1697124490348.915,10,0
1697124490850.5996,10,0
1697124491354.052,10,0
1697124491855.5598,10,0
1697124492360.3262,10,0
1697124492862.747,10,0
1697124493364.5986,10,0
1697124493870.9746,10,0
1697124494372.4856,10,0
1697124494875.7185,10,0
1697124495382.2102,10,0
1697124495886.547,10,0
1697124496415.1313,10,0
1697124496900.402,10,0
1697124497400.0283,10,0
1697124497904.5884,10,0
1697124498408.3015,10,0
1697124498947.4998,10,0
1697124499420.4285,10,0
1697124499922.5518,10,0
1697124500421.402,10,0
1697124500926.7097,10,0
1697124501427.6897,10,0
1697124501936.4236,10,0
1697124502441.2693,10,0
1697124502944.9294,10,0
1697124503446.6812,10,0
1697124503948.6858,10,0
1697124504450.1838,10,0
1697124504976.453,10,0
1697124505458.1394,10,0
1697124505965.3442,10,0
1697124506476.9907,10,0
1697124506966.1772,10,0
1697124507471.555,10,0
1697124507977.5137,10,0
1697124508485.3962,10,0
1697124508990.3208,10,0
1697124509489.0571,10,0
1697124509998.1233,10,0
1697124510516.4138,10,0
1697124511004.8481,10,0
1697124511511.4585,10,0
1697124512005.132,10,0
1697124512508.368,10,0
1697124513017.8884,10,0
1697124513523.876,10,0
1697124514059.451,10,0
1697124514548.6877,10,0
1697124515044.9216,10,0
1697124515541.4348,10,0
1697124516045.157,10,0
1697124516544.4736,10,0
1697124517051.505,10,0
1697124517565.5051,10,0
1697124518066.6772,10,0
1697124518580.17,10,0
1697124519084.5078,10,0
1697124519586.1833,10,0
1697124520082.1597,10,0
1697124520582.0952,10,0
1697124521086.26,10,0
1697124521590.2625,10,0
1697124522093.9995,10,0
1697124522613.7434,10,0
1697124523098.432,10,0
1697124523600.9893,10,0
1697124524110.145,10,0
1697124524616.6194,10,0
1697124525110.8606,10,0
1697124525611.315,10,0
1697124526112.0715,10,0
1697124526624.5422,10,0
1697124527115.9402,10,0
1697124527620.1914,10,0
1697124528137.973,10,0
1697124528634.8083,10,0
1697124529139.6218,10,0
1697124529639.639,10,0
1697124530138.0654,10,0
1697124530640.6565,10,0
1697124531188.6528,10,0
1697124531654.0312,10,0
1697124532160.1099,10,0
1697124532669.951,10,0
1697124533164.058,10,0
1697124533670.1787,10,0
1697124534173.1465,10,0
1697124534675.0625,10,0
1697124535175.5803,10,0
1697124535679.8813,10,0
1697124536199.693,10,0
1697124536690.5195,10,0
1697124537193.844,10,0
1697124537736.8745,10,0
1697124538198.3835,10,0
1697124538704.4998,10,0
1697124539211.9448,10,0
1697124539715.9624,10,0
1697124540227.5312,10,0
1697124540738.5527,10,0
1697124541265.5793,10,0
1697124541765.9263,10,0
1697124542261.9883,10,0
1697124542772.4863,10,0
1697124543284.6902,10,0
1697124543808.185,10,0
1697124544301.0186,10,0
1697124544795.758,10,0
1697124545299.9175,10,0
1697124545801.8718,10,0
1697124546300.7942,10,0
1697124546801.257,10,0
1697124547307.0234,10,0
1697124547808.045,10,0
1697124548313.3816,10,0
1697124548809.7993,10,0
1697124549314.6855,10,0
1697124549818.1135,10,0
1697124550317.9795,10,0
1697124550816.6702,10,0
1697124551318.7551,10,0
1697124551825.4453,10,0
1697124552336.9297,10,0
1697124552838.6558,10,0
1697124553337.6304,10,0
1697124553837.1226,10,0
1697124554348.099,10,0
1697124554840.8132,10,0
1697124555340.5469,10,0
1697124555845.2654,10,0
1697124556440.6836,10,0
1697124556883.9126,10,0
1697124557365.18,10,0
1697124557867.751,10,0
1697124558373.8704,10,0
1697124558882.8716,10,0
1697124559449.7175,10,0
1697124559894.415,10,0
1697124560396.2598,10,0
1697124560904.8364,10,0
1697124561404.7388,10,0
1697124561905.6077,10,0
1697124562416.0256,10,0
1697124562922.7217,10,0
1697124563422.8665,10,0
1697124563939.2927,10,0
1697124564451.8413,10,0
1697124564942.5796,10,0
1697124565463.684,10,0
1697124565941.6953,10,0
1697124566446.4246,10,0
1697124566949.0955,10,0
1697124567451.3667,10,0
1697124568058.2114,10,0
1697124568465.554,10,0
1697124568964.379,10,0
1697124569467.099,10,0
1697124569968.7466,10,0
1697124570470.6772,10,0
1697124571006.4014,10,0
1697124571523.5383,10,0
1697124572007.268,10,0
1697124572503.5334,10,0
1697124573001.761,10,0
1697124573504.1443,10,0
1697124574007.5461,10,0
1697124574513.5735,10,0
1697124575019.905,10,0
1697124575519.0496,10,0
1697124576023.4885,10,0
1697124576530.9233,10,0
1697124577027.6687,10,0
1697124577532.7708,10,0
1697124578038.075,10,0
1697124578544.464,10,0
1697124579047.4802,10,0
1697124579554.4578,10,0
1697124580044.6133,10,0
1697124580559.3618,10,0
1697124581059.8132,10,0
1697124581563.8462,10,0
1697124582066.3035,10,0
1697124582572.512,10,0
1697124583088.68,10,0
1697124583621.196,10,0
1697124584136.855,10,0
1697124584608.8655,10,0
1697124585118.8977,10,0
1697124585618.6099,10,0
1697124586124.2163,10,0
1697124586632.2595,10,0
1697124587129.8215,10,0
1697124587662.102,10,0
1697124588150.054,10,0
1697124588652.8613,10,0
1697124589148.498,10,0
1697124589652.5793,10,0
1697124590152.046,10,0
1697124590664.4512,10,0
1697124591159.282,10,0
1697124591664.3604,10,0
1697124592199.3267,10,0
1697124592712.6255,10,0
1697124593189.0144,10,0
1697124593702.5547,10,0
1697124594190.4656,10,0
1697124594698.2156,10,0
1697124595192.7598,10,0
1697124595710.801,10,0
1697124596217.3772,10,0
1697124596721.8044,10,0
1697124597224.4714,10,0
1697124597726.4626,10,0
1697124598229.882,10,0
1697124598735.418,10,0
1697124599235.7673,10,0
1697124599736.226,10,0
1697124600245.5845,10,0
1697124600744.1575,10,0
1697124601280.2605,10,0
1697124601797.011,10,0
1697124602268.276,10,0
1697124602797.2258,10,0
1697124603285.7673,10,0
1697124603812.5452,10,0
1697124604297.9304,10,0
1697124604809.129,10,0
1697124605306.0981,10,0
1697124605809.8853,10,0
1697124606314.3125,10,0
1697124606825.3906,10,0
1697124607321.9146,10,0
1697124607825.8872,10,0
1697124608331.0645,10,0
1697124608844.3474,10,0
1697124609336.0308,10,0
1697124609834.436,10,0
1697124610339.507,10,0
1697124610846.1587,10,0
1697124611344.0774,10,0
1697124611846.3801,10,0
1697124612352.8267,10,0
1697124612858.3044,10,0
1697124613359.1416,10,0
1697124613864.6882,10,0
1697124614382.8696,10,0
1697124614884.0046,10,0
1697124615379.571,10,0
1697124615888.8335,10,0
1697124616389.127,10,0
1697124616898.7925,10,0
1697124617401.1616,10,0
1697124617909.323,10,0
1697124618411.0632,10,0
1697124618949.3867,10,0
1697124619416.5027,10,0
1697124619930.3843,10,0
1697124620443.099,10,0
1697124620952.9033,10,0
1697124621440.1716,10,0
1697124621948.302,10,0
1697124622440.5168,10,0
1697124622955.5217,10,0
1697124623464.7542,10,0
1697124623965.4387,10,0
1697124624490.1584,10,0
1697124624984.395,10,0
1697124625478.6577,10,0
1697124625981.7075,10,0
1697124626484.433,10,0
1697124626995.753,10,0
1697124627491.3113,10,0
1697124628011.967,10,0
1697124628500.6863,10,0
1697124629002.0027,10,0
1697124629504.6755,10,0
1697124630012.788,10,0
1697124630520.4404,10,0
1697124631074.16,10,0
1697124631597.399,10,0
1697124632064.6147,10,0
1697124632540.8972,10,0
1697124633047.152,10,0
1697124633546.0242,10,0
1697124634054.8713,10,0
1697124634560.8662,10,0
1697124635061.2227,10,0
1697124635569.9639,10,0
1697124636083.828,10,0
1697124637078.7017,10,0
1697124637583.5862,10,0
1697124638089.5737,10,0
1697124638595.318,10,0
1697124639115.279,10,0
1697124639609.1997,10,0
1697124640114.1143,10,0
1697124640614.327,10,0
1697124641115.6296,10,0
1697124641623.1567,10,0
1697124642129.0498,10,0
1697124642630.7422,10,0
1697124643136.7988,10,0
1697124643655.9893,10,0
1697124644141.7593,10,0
1697124644646.5798,10,0
1697124645147.3972,10,0
1697124645646.4934,10,0
1697124646152.709,10,0
1697124646657.4219,10,0
1697124647169.8862,10,0
1697124647663.6873,10,0
1697124648179.104,10,0
1697124648675.3079,10,0
1697124649184.6768,10,0
1697124649685.0105,10,0
1697124650183.171,10,0
1697124650702.2534,10,0
1697124651208.944,10,0
1697124651707.8674,10,0
1697124652217.4827,10,0
1697124652735.8198,10,0
1697124653210.7964,10,0
1697124653718.1604,10,0
1697124654223.8755,10,0
1697124654724.1147,10,0
1697124655260.8298,10,0
1697124655762.0403,10,0
1697124656260.145,10,0
1697124656753.7576,10,0
1697124657259.36,10,0
1697124657759.5198,10,0
1697124658261.6736,10,0
1697124658767.8308,10,0
1697124659267.6177,10,0
1697124659787.8857,10,0
1697124660289.129,10,0
1697124660789.33,10,0
1697124661301.821,10,0
1697124661797.0332,10,0
1697124662299.7275,10,0
1697124662832.9233,10,0
1697124663340.0513,10,0
1697124663828.1938,10,0
1697124664329.3848,10,0
1697124664829.7217,10,0
1697124665333.5916,10,0
1697124665834.0698,10,0
1697124666383.923,10,0
1697124666839.0159,10,0
1697124667340.6277,10,0
1697124667864.1377,10,0
1697124668361.5002,10,0
1697124668878.7317,10,0
1697124669370.5198,10,0
1697124669877.2966,10,0
1697124670377.612,10,0
1697124670891.398,10,0
1697124671403.4468,10,0
1697124671889.929,10,0
1697124672393.8796,10,0
1697124672926.2842,10,0
1697124673411.6394,10,0
1697124673909.9575,10,0
1697124674410.8481,10,0
1697124674913.4277,10,0
1697124675415.3394,10,0
1697124675920.3667,10,0
1697124676457.8545,10,0
1697124676921.8467,10,0
1697124677437.8225,10,0
1697124677958.4668,10,0
1697124678438.7031,10,0
1697124678944.245,10,0
1697124679450.8223,10,0
1697124679957.487,10,0
1697124680471.7651,10,0
1697124680958.4968,10,0
1697124681456.129,10,0
1697124681961.231,10,0
1697124682464.676,10,0
1697124682975.3567,10,0
1697124683470.3938,10,0
1697124683974.5754,10,0
1697124684476.4956,10,0
1697124685003.8794,10,0
1697124685483.431,10,0
1697124685990.6562,10,0
1697124686493.402,10,0
1697124687000.4377,10,0
1697124687519.5242,10,0
1697124688007.9956,10,0
1697124688519.8977,10,0
1697124689022.49,10,0
1697124689521.7007,10,0
1697124690033.0898,10,0
1697124690530.6284,10,0
1697124691060.3472,10,0
1697124691587.7737,10,0
1697124692060.3042,10,0
1697124692594.328,10,0
1697124693096.73,10,0
1697124693563.3506,10,0
1697124694067.8308,10,0
1697124694573.9526,10,0
1697124695071.2246,10,0
1697124695597.762,10,0
1697124696071.742,10,0
1697124696589.8152,10,0
1697124697077.7358,10,0
1697124697632.882,10,0
1697124698082.979,10,0
1697124698582.2283,10,0
1697124699084.551,10,0
1697124699667.6501,10,0
1697124700103.6904,10,0
1697124700612.9558,10,0
1697124701120.0925,10,0
1697124701616.222,10,0
1697124702118.9116,10,0
1697124702621.0566,10,0
1697124703132.6729,10,0
1697124703645.5166,10,0
1697124704153.3489,10,0
1697124704630.4585,10,0
1697124705129.7537,10,0
1697124705631.537,10,0
1697124706133.1404,10,0
1697124706672.4158,10,0
1697124707137.053,10,0
1697124707667.1384,10,0
1697124708146.2996,10,0
1697124708659.9556,10,0
1697124709173.6677,10,0
1697124709654.2827,10,0
1697124710160.7363,10,0
1697124710670.7876,10,0
1697124711199.909,10,0
1697124711783.9197,10,0
1697124712194.928,10,0
