BackendTime,state,value
1697124451000.4155,2,0
1697124451258.1785,2,0
1697124451512.2673,2,0
1697124451920.4482,2,0
1697124452064.8584,2,0
1697124452338.3428,2,0
1697124452596.665,2,0
1697124452866.5613,2,0
1697124453127.2566,2,0
1697124453348.1658,2,0
1697124453616.0547,2,0
1697124453854.3267,2,0
1697124454127.128,2,0
1697124454364.438,2,0
1697124454630.4487,2,0
1697124454924.7676,2,0
1697124455121.1084,2,0
1697124455378.9802,2,0
1697124455704.3672,2,0
1697124455897.4836,2,0
1697124456150.9001,2,0
1697124456389.5776,2,0
1697124456655.6833,2,0
1697124456903.043,2,0
1697124457178.3196,2,0
1697124457449.0889,2,0
1697124457673.1077,2,0
1697124457978.829,2,0
1697124458180.0312,2,0
1697124458476.0503,2,0
1697124458697.297,2,0
1697124458982.8218,2,0
1697124459192.1885,2,0
1697124459482.7715,2,0
1697124459701.1887,2,0
1697124459963.6238,2,0
1697124460207.2957,2,0
1697124460483.7751,2,0
1697124460762.868,2,0
1697124460996.6396,2,0
1697124461259.096,2,0
1697124461517.0662,2,0
1697124461734.4292,2,0
1697124462000.1414,2,0
1697124462257.358,2,0
1697124462513.7454,2,0
1697124462799.7903,2,0
1697124463076.395,2,0
1697124463300.663,2,0
1697124463601.6365,2,0
1697124463824.573,2,0
1697124464077.123,2,0
1697124464319.467,2,0
1697124464565.9543,2,0
1697124464813.549,2,0
1697124465062.221,2,0
1697124465346.0208,2,0
1697124473185.95,2,0
1697124473451.9197,2,0
1697124473699.5005,2,0
1697124473947.7769,2,0
1697124474202.637,2,0
1697124474451.074,2,0
1697124474721.3333,2,0
1697124475022.308,2,0
1697124475227.3245,2,0
1697124475499.1528,2,0
1697124475736.5552,2,0
1697124476003.6023,2,0
1697124476249.1606,2,0
1697124476496.93,2,0
1697124476785.1597,2,0
1697124477019.6355,2,0
1697124477292.876,2,0
1697124477528.6233,2,0
1697124477801.009,2,0
1697124478021.5886,2,0
1697124478323.7947,2,0
1697124478529.7373,2,0
1697124478814.552,2,0
1697124479042.8684,2,0
1697124479336.5076,2,0
1697124479559.719,2,0
1697124479808.3171,2,0
1697124480054.68,2,0
1697124480338.3875,2,0
1697124480571.3718,2,0
1697124480823.254,2,0
1697124481069.6057,2,0
1697124481339.0894,2,0
1697124481596.7678,2,0
1697124481829.973,2,0
1697124482091.98,2,0
1697124482389.7456,2,0
1697124482643.1196,2,0
1697124482874.1143,2,0
1697124483153.9302,2,0
1697124483429.8455,2,0
1697124483641.155,2,0
1697124483889.1086,2,0
1697124484160.5334,2,0
1697124484431.1052,2,0
1697124484693.4636,2,0
1697124484914.163,2,0
1697124485163.3967,2,0
1697124485448.731,2,0
1697124485712.6218,2,0
1697124485941.3066,2,0
1697124486202.96,2,0
1697124486458.096,2,0
1697124486706.197,2,0
1697124486958.9968,2,0
1697124487225.794,2,0
1697124487496.8713,2,0
1697124487717.536,2,0
1697124487994.9827,2,0
1697124488229.0742,2,0
1697124488492.652,2,0
1697124488771.8545,2,0
1697124489031.9287,2,0
1697124489231.2424,2,0
1697124489503.044,2,0
1697124489781.3862,2,0
1697124490015.3777,2,0
1697124490284.8994,2,0
1697124490518.0137,2,0
1697124490758.6472,2,0
1697124491039.1516,2,0
1697124491253.5818,2,0
1697124491525.2996,2,0
1697124491764.3638,2,0
1697124492012.8271,2,0
1697124492269.9883,2,0
1697124492524.498,2,0
1697124492772.1606,2,0
1697124493026.6838,2,0
1697124493273.201,2,0
1697124493532.5059,2,0
1697124493774.4526,2,0
1697124494032.9587,2,0
1697124494288.4976,2,0
1697124494547.3555,2,0
1697124494789.3887,2,0
1697124495047.0073,2,0
1697124495308.7375,2,0
1697124495555.5974,2,0
1697124495806.2043,2,0
1697124496101.9702,2,0
1697124496383.6016,2,0
1697124496592.3638,2,0
1697124496827.9644,2,0
1697124497084.37,2,0
1697124497351.8718,2,0
1697124497597.7908,2,0
1697124497860.9229,2,0
1697124498110.824,2,0
1697124498369.126,2,0
