BackendTime,state,value
1697124451159.773,2,0
1697124451867.8223,2,0
1697124452209.412,2,0
1697124452707.156,2,0
1697124453215.7869,2,0
1697124453719.1255,2,0
1697124454215.4243,2,0
1697124454727.6086,2,0
1697124455231.438,2,0
1697124455742.731,2,0
1697124456268.4587,2,0
1697124456755.5957,2,0
1697124457269.2122,2,0
1697124457760.833,2,0
1697124458263.6382,2,0
1697124458758.483,2,0
1697124459255.0376,2,0
1697124459776.7676,2,0
1697124460284.8186,2,0
1697124460776.3103,2,0
1697124461288.752,2,0
1697124461792.371,2,0
1697124462299.2324,2,0
1697124462852.8203,2,0
1697124463335.9968,2,0
1697124463849.5435,2,0
1697124464349.0876,2,0
1697124464829.5183,2,0
1697124465324.1343,2,0
1697124473387.453,2,0
1697124473879.042,2,0
1697124474379.957,2,0
1697124474943.7273,2,0
1697124475404.0322,2,0
1697124475907.9888,2,0
1697124476425.1226,2,0
1697124476911.7178,2,0
1697124477419.3684,2,0
1697124477920.7188,2,0
1697124478425.076,2,0
1697124478926.6462,2,0
1697124479427.89,2,0
1697124479927.9138,2,0
1697124480422.948,2,0
1697124480935.0552,2,0
1697124481449.043,2,0
1697124481942.9053,2,0
1697124482463.295,2,0
1697124482944.7415,2,0
1697124483459.98,2,0
1697124483956.3303,2,0
1697124484462.4792,2,0
1697124484961.7266,2,0
1697124485487.9133,2,0
1697124485968.2075,2,0
1697124486481.535,2,0
1697124486981.4211,2,0
1697124487482.0127,2,0
1697124487970.4314,2,0
1697124488472.0857,2,0
1697124488991.5989,2,0
1697124489486.8513,2,0
1697124489987.8389,2,0
1697124490501.9922,2,0
1697124491004.2769,2,0
1697124491509.617,2,0
1697124492000.3284,2,0
1697124492508.9373,2,0
1697124493010.4636,2,0
1697124493511.0771,2,0
1697124494017.3557,2,0
1697124494524.6453,2,0
1697124495021.268,2,0
1697124495526.2449,2,0
1697124496033.4048,2,0
1697124496548.9487,2,0
1697124497045.9878,2,0
1697124497544.4324,2,0
1697124498045.6492,2,0
1697124498554.2488,2,0
1697124499067.7778,2,0
1697124499569.651,2,0
1697124500063.56,2,0
1697124500576.1035,2,0
1697124501078.4668,2,0
1697124501570.6453,2,0
1697124502074.7356,2,0
1697124502581.2734,2,0
1697124503090.7039,2,0
1697124503583.6348,2,0
1697124504093.8599,2,0
1697124504581.6719,2,0
1697124505092.1135,2,0
1697124505628.9285,2,0
1697124506109.6934,2,0
1697124506617.2026,2,0
1697124507121.1846,2,0
1697124507625.592,2,0
1697124508126.0798,2,0
1697124508631.1106,2,0
1697124509136.4126,2,0
1697124509628.0579,2,0
1697124510131.1,2,0
1697124510646.603,2,0
1697124511138.7808,2,0
1697124511770.7202,2,0
1697124512182.1382,2,0
1697124512685.4727,2,0
1697124513188.6895,2,0
1697124513688.2278,2,0
1697124514194.4097,2,0
1697124514754.888,2,0
1697124515200.8757,2,0
1697124515700.0378,2,0
1697124516201.5483,2,0
1697124516716.8691,2,0
1697124517235.0781,2,0
1697124517736.9685,2,0
1697124518249.286,2,0
1697124518741.5496,2,0
1697124519253.4197,2,0
1697124519749.5083,2,0
1697124520249.8328,2,0
1697124520750.3926,2,0
1697124521261.3596,2,0
