BackendTime,state,value
1697124451306.213,2,0
1697124451913.6135,2,0
1697124452332.1624,2,0
1697124452857.463,2,0
1697124453340.698,2,0
1697124453839.6108,2,0
1697124454343.8845,2,0
1697124454893.4136,2,0
1697124455337.2712,2,0
1697124455849.617,2,0
1697124456343.9312,2,0
1697124456853.7437,2,0
1697124457372.3406,2,0
1697124457861.4119,2,0
1697124458363.0872,2,0
1697124458868.6274,2,0
1697124459380.6177,2,0
1697124459906.736,2,0
1697124460406.9736,2,0
1697124460905.691,2,0
1697124461421.8298,2,0
1697124461932.0496,2,0
1697124462417.5625,2,0
1697124462959.8296,2,0
1697124463480.3245,2,0
1697124463938.1926,2,0
1697124464420.889,2,0
1697124464924.9456,2,0
1697124465424.5674,2,0
1697124465916.2097,2,0
1697124466426.6206,2,0
1697124466925.7656,2,0
1697124467427.7244,2,0
1697124467967.266,2,0
1697124468461.5967,2,0
1697124468959.68,2,0
1697124469451.4434,2,0
1697124469953.3167,2,0
1697124470462.2996,2,0
1697124470963.777,2,0
1697124471467.0996,2,0
1697124471979.5293,2,0
1697124472481.6746,2,0
1697124472980.9927,2,0
1697124473486.474,2,0
1697124473991.2559,2,0
1697124474499.8499,2,0
1697124475015.3682,2,0
1697124475505.785,2,0
1697124476011.5,2,0
1697124476503.6035,2,0
1697124477027.8499,2,0
1697124477536.1882,2,0
1697124478029.8357,2,0
1697124478522.992,2,0
1697124479034.2573,2,0
1697124479547.49,2,0
1697124480042.9587,2,0
1697124480550.0012,2,0
1697124481051.141,2,0
1697124481584.827,2,0
1697124482078.4856,2,0
1697124482565.1057,2,0
1697124483066.7498,2,0
1697124483604.008,2,0
1697124484105.0408,2,0
1697124484592.053,2,0
1697124485090.2896,2,0
1697124485641.8325,2,0
1697124486095.9832,2,0
1697124486614.2678,2,0
1697124487109.7493,2,0
1697124487607.5564,2,0
1697124488118.1658,2,0
1697124488618.4917,2,0
1697124489123.652,2,0
1697124489655.5283,2,0
1697124490135.3716,2,0
1697124490629.544,2,0
1697124491149.6118,2,0
1697124491641.374,2,0
1697124492149.5557,2,0
1697124492662.6975,2,0
1697124493166.5945,2,0
1697124493681.9058,2,0
1697124494181.2544,2,0
1697124494678.0537,2,0
1697124495194.3416,2,0
1697124495700.1392,2,0
1697124496207.6772,2,0
1697124496713.7314,2,0
1697124497206.002,2,0
1697124497728.1277,2,0
1697124498219.9143,2,0
1697124498721.8328,2,0
1697124499225.925,2,0
1697124499729.756,2,0
1697124500227.3367,2,0
1697124500729.2126,2,0
1697124501229.746,2,0
1697124501730.874,2,0
1697124502242.1042,2,0
1697124502742.496,2,0
1697124503244.326,2,0
1697124503756.4033,2,0
1697124504240.3196,2,0
1697124504755.835,2,0
1697124505300.985,2,0
1697124505775.9502,2,0
1697124506265.941,2,0
1697124506770.9045,2,0
1697124507288.1094,2,0
1697124507777.2146,2,0
1697124508291.7803,2,0
1697124508784.4197,2,0
1697124509293.4321,2,0
1697124509796.2915,2,0
1697124510393.9324,2,0
1697124510804.855,2,0
1697124511351.8357,2,0
1697124511836.049,2,0
1697124512328.4556,2,0
1697124512835.319,2,0
1697124513331.9907,2,0
1697124513832.0747,2,0
1697124514346.4312,2,0
1697124514845.903,2,0
1697124515339.6687,2,0
1697124515848.2742,2,0
1697124516356.0156,2,0
1697124516855.7527,2,0
1697124517361.665,2,0
1697124517872.1458,2,0
1697124518366.7888,2,0
1697124518885.4985,2,0
1697124519379.5332,2,0
1697124519886.428,2,0
1697124520390.4,2,0
1697124520895.769,2,0
1697124521394.1328,2,0
1697124521905.9236,2,0
1697124522415.0007,2,0
1697124522914.628,2,0
1697124523444.2715,2,0
1697124523912.9524,2,0
1697124524422.043,2,0
1697124524961.4905,2,0
1697124525425.8066,2,0
1697124525947.5044,2,0
1697124526457.252,2,0
1697124526941.5732,2,0
1697124527454.6155,2,0
1697124527956.2642,2,0
1697124528488.408,2,0
1697124528981.2197,2,0
1697124529479.8152,2,0
1697124529983.9172,2,0
1697124530484.019,2,0
1697124530988.7288,2,0
1697124531527.6672,2,0
1697124531981.3176,2,0
1697124532500.851,2,0
1697124532996.2776,2,0
1697124533506.3567,2,0
1697124533998.753,2,0
1697124534507.9915,2,0
1697124535087.8918,2,0
1697124535550.2178,2,0
1697124536033.2183,2,0
1697124536539.0098,2,0
1697124537042.9072,2,0
1697124537548.066,2,0
1697124538053.1414,2,0
1697124538560.6726,2,0
1697124539063.6548,2,0
1697124539582.3804,2,0
1697124540103.9834,2,0
1697124540585.9978,2,0
1697124541087.0386,2,0
1697124541653.7578,2,0
1697124542083.827,2,0
1697124542598.437,2,0
1697124543147.172,2,0
1697124543616.8699,2,0
1697124544099.657,2,0
1697124544614.9893,2,0
1697124545116.1096,2,0
1697124545603.4917,2,0
1697124546111.3357,2,0
1697124546615.3005,2,0
1697124547118.6692,2,0
1697124547638.395,2,0
1697124548127.4846,2,0
1697124548648.7327,2,0
1697124549124.4688,2,0
1697124549643.418,2,0
1697124550132.1377,2,0
1697124550639.2761,2,0
1697124551158.3396,2,0
1697124551672.1353,2,0
1697124552172.0889,2,0
1697124552653.836,2,0
1697124553162.2888,2,0
1697124553669.593,2,0
1697124554174.9905,2,0
1697124554671.333,2,0
1697124555169.539,2,0
1697124555674.604,2,0
1697124556192.95,2,0
1697124556782.7512,2,0
1697124557188.4065,2,0
1697124557720.808,2,0
1697124558203.6646,2,0
1697124558714.4634,2,0
1697124559205.645,2,0
1697124559773.159,2,0
1697124560225.7522,2,0
1697124560715.9302,2,0
1697124561235.845,2,0
1697124561741.6594,2,0
1697124562231.7932,2,0
1697124562783.4226,2,0
1697124563256.9456,2,0
1697124563790.3125,2,0
1697124564282.4878,2,0
1697124564789.0999,2,0
1697124565301.7275,2,0
1697124565813.7063,2,0
1697124566280.0024,2,0
1697124566777.797,2,0
1697124567293.2642,2,0
1697124567960.7253,2,0
1697124568308.526,2,0
1697124568806.5745,2,0
1697124569311.6584,2,0
1697124569824.6658,2,0
1697124570330.3613,2,0
1697124570828.0872,2,0
1697124571375.4595,2,0
1697124571825.7961,2,0
1697124572334.9485,2,0
1697124572840.0513,2,0
1697124573323.4001,2,0
1697124573828.9727,2,0
1697124574346.0571,2,0
1697124574848.465,2,0
1697124575340.5403,2,0
1697124575857.0674,2,0
1697124576342.0818,2,0
1697124576881.642,2,0
1697124577366.6472,2,0
1697124577867.5535,2,0
1697124578370.1096,2,0
1697124578867.5422,2,0
1697124579406.0874,2,0
1697124579867.6062,2,0
1697124580385.8516,2,0
1697124580898.4883,2,0
1697124581392.817,2,0
1697124581896.109,2,0
1697124582388.5112,2,0
1697124582952.0776,2,0
1697124583501.355,2,0
1697124583947.999,2,0
1697124584424.51,2,0
1697124584926.6465,2,0
1697124585431.6804,2,0
1697124585938.971,2,0
1697124586537.628,2,0
1697124586953.9812,2,0
1697124587448.1965,2,0
1697124587960.3032,2,0
1697124588442.8003,2,0
1697124588957.0337,2,0
1697124589465.7678,2,0
1697124589975.9304,2,0
1697124590477.9648,2,0
1697124590979.1384,2,0
1697124591477.6565,2,0
1697124591983.4475,2,0
1697124592504.1697,2,0
1697124593000.9468,2,0
1697124593495.6638,2,0
1697124593995.8855,2,0
1697124594504.8682,2,0
1697124595007.1006,2,0
1697124595507.9417,2,0
1697124596010.4678,2,0
1697124596543.8694,2,0
1697124597018.156,2,0
1697124597510.7622,2,0
1697124598016.1116,2,0
1697124598517.0635,2,0
1697124599036.7085,2,0
1697124599549.1577,2,0
1697124600050.7854,2,0
1697124600553.5754,2,0
1697124601056.1504,2,0
1697124601645.7708,2,0
1697124602068.8518,2,0
1697124602562.329,2,0
1697124603161.9626,2,0
1697124603629.6003,2,0
1697124604131.5144,2,0
1697124604619.1277,2,0
1697124605136.066,2,0
1697124605630.2031,2,0
1697124606131.7996,2,0
1697124606633.094,2,0
1697124607135.287,2,0
1697124607635.7507,2,0
1697124608139.5354,2,0
1697124608656.0308,2,0
1697124609157.6094,2,0
1697124609658.2961,2,0
1697124610161.9966,2,0
1697124610676.6968,2,0
1697124611157.8567,2,0
1697124611668.9949,2,0
1697124612166.9856,2,0
1697124612730.1177,2,0
1697124613174.6543,2,0
1697124613691.5132,2,0
1697124614195.6892,2,0
1697124614692.9983,2,0
1697124615204.563,2,0
1697124615725.4175,2,0
1697124616223.7322,2,0
1697124616735.0874,2,0
1697124617237.7888,2,0
1697124617730.5056,2,0
1697124618236.48,2,0
1697124618757.1384,2,0
1697124619256.6787,2,0
1697124619759.945,2,0
1697124620323.3948,2,0
1697124620781.4897,2,0
1697124621271.6785,2,0
1697124621784.531,2,0
1697124622285.9744,2,0
1697124622804.1516,2,0
1697124623286.9084,2,0
1697124623794.5188,2,0
1697124624319.0742,2,0
1697124624879.3967,2,0
1697124625330.3655,2,0
1697124625822.9136,2,0
1697124626315.4092,2,0
1697124626822.1362,2,0
1697124627316.0305,2,0
1697124627824.5076,2,0
1697124628340.8877,2,0
1697124628838.736,2,0
1697124629344.1702,2,0
1697124629837.849,2,0
1697124630341.5864,2,0
1697124630861.8604,2,0
1697124631436.6345,2,0
1697124631924.5247,2,0
1697124632468.2622,2,0
1697124632872.5383,2,0
1697124633373.299,2,0
1697124633874.3765,2,0
1697124634386.2168,2,0
1697124634882.1829,2,0
1697124635388.045,2,0
1697124635892.6453,2,0
1697124636401.9128,2,0
1697124636897.2163,2,0
1697124637404.2925,2,0
1697124637910.0876,2,0
1697124638417.768,2,0
1697124639031.8652,2,0
1697124639436.5044,2,0
1697124639936.9045,2,0
1697124640472.076,2,0
1697124640936.1025,2,0
1697124641443.7166,2,0
1697124641944.6318,2,0
1697124642448.3606,2,0
1697124642950.9783,2,0
1697124643439.073,2,0
1697124643950.031,2,0
1697124644459.9236,2,0
1697124644952.5266,2,0
1697124645469.1953,2,0
1697124645971.9797,2,0
1697124646480.6106,2,0
1697124646983.5515,2,0
1697124647505.9446,2,0
1697124648016.8206,2,0
1697124648504.0732,2,0
1697124649007.3782,2,0
1697124649508.4788,2,0
1697124650021.561,2,0
1697124650524.6072,2,0
1697124651029.7158,2,0
1697124651545.2854,2,0
1697124652032.4727,2,0
1697124652537.61,2,0
1697124653050.1587,2,0
1697124653539.869,2,0
1697124654049.3052,2,0
1697124654560.967,2,0
1697124655120.1306,2,0
1697124655644.5276,2,0
1697124656076.299,2,0
1697124656591.569,2,0
1697124657080.731,2,0
1697124657589.9514,2,0
1697124658079.751,2,0
1697124658589.7542,2,0
1697124659102.1467,2,0
1697124659625.4282,2,0
1697124660112.7869,2,0
1697124660619.6624,2,0
1697124661106.1853,2,0
1697124661633.379,2,0
1697124662124.506,2,0
1697124662616.3489,2,0
1697124663161.1946,2,0
1697124663667.646,2,0
1697124664141.9753,2,0
1697124664649.845,2,0
1697124665155.335,2,0
1697124665654.1606,2,0
