BackendTime,state,value
1697124451074.4312,2,150
1697124451845.355,2,150
1697124452141.1687,2,150
1697124452589.991,2,150
1697124453084.873,2,150
1697124453598.2205,2,150
1697124454088.5305,2,150
1697124454594.0337,2,150
1697124455086.178,2,150
1697124455617.0447,2,150
1697124456110.2896,2,150
1697124456647.9385,2,150
1697124457116.6716,2,150
1697124457631.0828,2,150
1697124458110.2654,2,150
1697124458623.1074,2,150
1697124459128.7664,2,150
1697124459641.0366,2,150
1697124460149.8018,2,150
1697124460645.452,2,150
1697124461133.4016,2,150
1697124461639.5952,2,150
1697124462666.2366,2,150
1697124463249.7188,2,150
1697124463688.2502,2,150
1697124464264.5854,2,150
1697124464698.759,2,150
1697124465212.5442,2,150
1697124473271.9128,2,150
1697124473775.569,2,150
1697124474265.2615,2,150
1697124474772.1475,2,150
1697124475292.0947,2,150
1697124475797.8877,2,150
1697124476276.0884,2,150
1697124476814.107,2,150
1697124477326.4812,2,150
1697124477815.779,2,150
1697124478316.39,2,150
1697124478801.5503,2,150
1697124479296.842,2,150
1697124479788.8135,2,150
1697124480296.4136,2,150
1697124480796.5378,2,150
1697124481319.045,2,150
1697124481803.222,2,150
1697124482347.8237,2,150
1697124482810.365,2,150
1697124483358.5876,2,150
1697124483880.2412,2,150
1697124484356.5444,2,150
1697124484823.6511,2,150
1697124485380.503,2,150
1697124485845.3247,2,150
1697124486335.342,2,150
1697124486874.861,2,150
1697124487362.9617,2,150
1697124487885.5908,2,150
1697124488370.1033,2,150
1697124488856.5657,2,150
1697124489400.9934,2,150
1697124489860.8445,2,150
1697124490384.7366,2,150
1697124490901.1643,2,150
1697124491374.8677,2,150
1697124491869.268,2,150
1697124492373.6243,2,150
1697124492899.0012,2,150
1697124493378.6235,2,150
1697124493902.9053,2,150
1697124494399.241,2,150
1697124494895.0146,2,150
1697124495403.3816,2,150
1697124495907.871,2,150
1697124496482.8557,2,150
1697124496915.9275,2,150
1697124497421.553,2,150
1697124497932.476,2,150
1697124498517.255,2,150
1697124498990.6865,2,150
1697124499450.5176,2,150
1697124499938.2888,2,150
1697124500435.458,2,150
1697124500955.614,2,150
1697124501456.6577,2,150
1697124501996.209,2,150
1697124502458.3286,2,150
1697124503009.6484,2,150
1697124503497.4592,2,150
1697124504001.0303,2,150
1697124504493.1416,2,150
1697124505060.7793,2,150
1697124505474.3025,2,150
1697124506025.3403,2,150
1697124506532.1008,2,150
1697124507020.3655,2,150
1697124507493.543,2,150
1697124507992.4062,2,150
1697124508497.903,2,150
1697124509006.6272,2,150
1697124509504.718,2,150
1697124510020.3936,2,150
1697124510566.1882,2,150
1697124511056.1375,2,150
1697124511666.5586,2,150
1697124512039.596,2,150
1697124512526.387,2,150
1697124513065.093,2,150
1697124513556.7842,2,150
1697124514153.416,2,150
1697124514662.018,2,150
1697124515098.5825,2,150
1697124515601.8694,2,150
1697124516100.48,2,150
1697124516576.8633,2,150
1697124517108.0342,2,150
1697124517622.6182,2,150
1697124518128.2537,2,150
1697124518612.1282,2,150
1697124519120.9116,2,150
1697124519620.4802,2,150
1697124520127.9272,2,150
1697124520617.0134,2,150
1697124521119.3757,2,150
1697124521619.7805,2,150
1697124522150.6675,2,150
1697124522651.5283,2,150
1697124523132.8499,2,150
1697124523648.1792,2,150
1697124524171.497,2,150
1697124524673.4531,2,150
1697124525168.683,2,150
1697124525667.119,2,150
1697124526158.407,2,150
1697124526670.687,2,150
1697124527154.509,2,150
1697124527663.9526,2,150
1697124528190.4412,2,150
1697124528714.0222,2,150
1697124529194.0647,2,150
1697124529726.1,2,150
1697124530196.3076,2,150
1697124530725.1477,2,150
1697124531277.1782,2,150
1697124531743.7852,2,150
1697124532243.0225,2,150
