BackendTime,state,value
1697124451166.9226,2,100
1697124451876.117,2,100
1697124452216.9468,2,100
1697124452717.0022,2,100
1697124453223.6826,2,100
1697124453750.2627,2,100
1697124454222.6624,2,100
1697124454735.724,2,100
1697124455239.5916,2,100
1697124455750.0742,2,100
1697124456277.344,2,100
1697124456766.0662,2,100
1697124457288.946,2,100
1697124457768.9377,2,100
1697124458271.62,2,100
1697124458767.0466,2,100
1697124459268.3774,2,100
1697124459784.0042,2,100
1697124460292.1426,2,100
1697124460782.9575,2,100
1697124461296.0256,2,100
1697124461812.1887,2,100
1697124462306.8796,2,100
1697124462861.7595,2,100
1697124463380.2134,2,100
1697124463859.6855,2,100
1697124464356.5825,2,100
1697124464838.9934,2,100
1697124465338.9639,2,100
1697124473394.818,2,100
1697124473885.7778,2,100
1697124474386.7988,2,100
1697124474968.6943,2,100
1697124475411.9976,2,100
1697124475915.4805,2,100
1697124476431.8555,2,100
1697124476918.5913,2,100
1697124477426.4812,2,100
1697124477928.0908,2,100
1697124478432.326,2,100
1697124478933.9995,2,100
1697124479435.496,2,100
1697124479935.4382,2,100
1697124480430.5017,2,100
1697124480942.5544,2,100
1697124481456.469,2,100
1697124481950.3318,2,100
1697124482496.0432,2,100
1697124482952.1284,2,100
1697124483467.5657,2,100
1697124483980.6624,2,100
1697124484488.1824,2,100
1697124484968.902,2,100
1697124485506.0002,2,100
1697124485974.4636,2,100
1697124486488.9607,2,100
1697124486989.053,2,100
1697124487489.5742,2,100
1697124487987.0627,2,100
1697124488485.4985,2,100
1697124489011.8435,2,100
1697124489494.9731,2,100
1697124490007.0945,2,100
1697124490510.3232,2,100
1697124491011.511,2,100
1697124491517.9487,2,100
1697124492006.5974,2,100
1697124492516.1404,2,100
1697124493018.6738,2,100
1697124493518.884,2,100
1697124494024.649,2,100
1697124494532.1702,2,100
1697124495032.2927,2,100
1697124495536.0144,2,100
1697124496042.2527,2,100
1697124496561.8281,2,100
1697124497053.3184,2,100
1697124497551.4827,2,100
1697124498051.8801,2,100
1697124498571.8967,2,100
1697124499075.422,2,100
1697124499581.47,2,100
1697124500069.7332,2,100
1697124500583.331,2,100
1697124501085.735,2,100
1697124501578.0483,2,100
1697124502081.4148,2,100
1697124502588.8804,2,100
1697124503098.1582,2,100
1697124503590.5535,2,100
1697124504101.1719,2,100
1697124504596.944,2,100
1697124505112.5608,2,100
1697124505661.8528,2,100
1697124506115.8926,2,100
1697124506638.3062,2,100
1697124507128.7563,2,100
1697124507632.7246,2,100
1697124508133.6619,2,100
1697124508638.957,2,100
1697124509143.7207,2,100
1697124509669.7124,2,100
1697124510137.7925,2,100
1697124510654.3645,2,100
1697124511146.4077,2,100
1697124511779.5496,2,100
1697124512188.63,2,100
1697124512692.6606,2,100
1697124513196.7346,2,100
1697124513695.431,2,100
1697124514201.126,2,100
1697124514764.6785,2,100
1697124515209.1426,2,100
1697124515707.0715,2,100
1697124516208.5764,2,100
1697124516724.5334,2,100
1697124517246.0024,2,100
1697124517744.732,2,100
1697124518278.4512,2,100
1697124518757.3752,2,100
1697124519264.8682,2,100
1697124519756.591,2,100
1697124520256.9434,2,100
1697124520758.1145,2,100
1697124521269.3667,2,100
1697124521766.5847,2,100
1697124522272.935,2,100
1697124522775.5703,2,100
1697124523322.222,2,100
1697124523829.6047,2,100
1697124524310.1992,2,100
1697124524865.8767,2,100
1697124525325.7039,2,100
1697124525829.5435,2,100
1697124526332.7283,2,100
1697124526838.5063,2,100
1697124527347.8623,2,100
1697124527848.7263,2,100
1697124528354.6113,2,100
1697124528869.0024,2,100
1697124529362.6433,2,100
1697124529872.1667,2,100
1697124530363.3857,2,100
1697124530873.4458,2,100
1697124531394.2576,2,100
1697124531887.6423,2,100
