BackendTime,logicVoltage,depVoltage,system_status,system_time
1697124451460.24,3326,17111,1025,1995353
1697124451948.0603,3316,17094,1025,1995825
1697124452379.7566,3326,16991,1025,1996320
1697124452936.0435,3326,17122,1025,1996838
1697124453391.7764,3322,17014,1025,1997332
1697124453893.5598,3322,17031,1025,1997834
1697124454450.25,3326,16980,1025,1998386
1697124454956.019,3326,17020,1025,1998856
1697124455449.8066,3326,17020,1025,1999349
1697124455920.2576,3326,17003,1025,1999856
1697124456410.8538,3325,17054,1025,2000349
1697124456925.8433,3326,17003,1025,2000854
1697124457441.18,3326,17014,1025,2001370
1697124457971.4775,3326,16997,1025,2001909
1697124458468.0815,3319,17054,1025,2002372
1697124458975.6157,3326,17003,1025,2002913
1697124459475.2705,3316,17054,1025,2003381
1697124459948.2617,3326,16997,1025,2003885
1697124460476.4834,3326,16997,1025,2004387
1697124460962.7153,3324,17020,1025,2004893
1697124461492.91,3326,17008,1025,2005398
1697124461963.6484,3326,17065,1025,2005895
1697124462476.3418,3325,16980,1025,2006402
1697124463051.2717,3326,17054,1025,2006935
1697124463513.9048,3326,17054,1025,2007428
1697124464021.5605,3326,17105,1025,2007941
1697124464505.1445,3326,17134,1025,2008431
1697124464996.8247,3326,17117,1025,2008928
1697124473543.4158,3321,17054,1025,2017485
1697124474048.301,3326,17031,1025,2017986
1697124474552.9963,3326,17094,1025,2018491
1697124475052.9836,3326,17003,1025,2018992
1697124475562.2874,3326,17048,1025,2019492
1697124476075.3123,3326,17003,1025,2020000
1697124476620.3809,3325,16991,1025,2020518
1697124477071.8308,3326,17020,1025,2021011
1697124477581.0127,3326,17020,1025,2021515
1697124478090.3625,3326,16991,1025,2022023
1697124478579.526,3324,17111,1025,2022516
1697124479086.736,3326,16991,1025,2023024
1697124479604.5647,3326,16997,1025,2023526
1697124480081.0454,3325,17088,1025,2024022
1697124480596.2368,3323,17054,1025,2024533
1697124481090.097,3325,17048,1025,2025032
1697124481616.1191,3326,17003,1025,2025547
1697124482114.1707,3326,17031,1025,2026051
1697124482629.5366,3326,17020,1025,2026554
1697124483141.7705,3326,16991,1025,2027058
1697124483633.447,3311,17094,1025,2027574
1697124484130.3298,3326,17054,1025,2028066
1697124484649.4292,3326,17111,1025,2028574
1697124485133.4646,3326,17122,1025,2029064
1697124485692.219,3326,17054,1025,2029603
1697124486165.9036,3326,17122,1025,2030079
1697124486651.2786,3318,17054,1025,2030581
1697124487168.9497,3323,17003,1025,2031084
1697124487649.9905,3326,17031,1025,2031591
1697124488161.701,3326,17105,1025,2032105
1697124488663.9412,3326,17014,1025,2032593
1697124489167.047,3326,17111,1025,2033100
1697124489702.4302,3326,17054,1025,2033616
1697124490165.9412,3326,17054,1025,2034103
1697124490674.0916,3316,16991,1025,2034605
1697124491179.0664,3326,17003,1025,2035107
1697124491675.3691,3326,17128,1025,2035613
1697124492173.8865,3326,16997,1025,2036117
1697124492684.9595,3326,16991,1025,2036623
1697124493190.6052,3326,16991,1025,2037127
1697124493715.8503,3326,17122,1025,2037630
1697124494198.1973,3326,17020,1025,2038129
1697124494697.052,3324,17094,1025,2038628
1697124495211.3994,3322,17054,1025,2039142
1697124495715.5488,3325,17105,1025,2039648
1697124496270.536,3315,17054,1025,2040190
1697124496820.77,3311,16968,1025,2040696
1697124497253.993,3324,16980,1025,2041190
1697124497774.099,3326,17117,1025,2041707
1697124498282.641,3326,17048,1025,2042212
1697124498779.9583,3326,17003,1025,2042713
1697124499298.528,3326,17122,1025,2043220
1697124499792.5273,3326,16991,1025,2043723
1697124500284.4856,3326,17128,1025,2044221
1697124500770.0024,3326,17094,1025,2044706
1697124501292.7922,3325,17094,1025,2045224
1697124501762.74,3326,17031,1025,2045711
1697124502800.7456,3326,17054,1025,2046732
1697124503298.05,3320,17122,1025,2047233
1697124503810.5234,3326,17031,1025,2047717
1697124504305.4902,3326,16980,1025,2048241
1697124504811.3,3326,16991,1025,2048741
1697124505365.05,3326,17122,1025,2049281
1697124505834.2183,3326,17117,1025,2049754
1697124506318.9463,3315,16963,1025,2050248
1697124506827.7546,3326,17088,1025,2050767
1697124507352.516,3325,17065,1025,2051270
1697124507822.7593,3326,17020,1025,2051762
1697124508361.247,3326,17094,1025,2052285
1697124508867.0088,3326,17122,1025,2052794
1697124509358.5693,3312,16997,1025,2053289
1697124509861.5874,3326,17111,1025,2053796
1697124510453.242,3326,17031,1025,2054381
1697124510866.9602,3326,17048,1025,2054803
1697124511450.505,3326,17003,1025,2055360
1697124511875.6108,3322,17031,1025,2055813
1697124512391.3472,3326,17111,1025,2056323
1697124512893.8877,3326,17082,1025,2056830
1697124513390.5068,3319,17020,1025,2057322
1697124513885.7324,3322,17031,1025,2057825
1697124514397.5156,3326,16991,1025,2058336
1697124514909.1348,3324,17054,1025,2058841
1697124515413.6145,3309,17088,1025,2059344
1697124515904.0376,3326,17117,1025,2059847
1697124516415.607,3325,17054,1025,2060349
1697124516916.657,3309,17082,1025,2060850
1697124517430.2378,3325,17094,1025,2061357
1697124517925.3228,3326,17088,1025,2061868
1697124518447.6348,3323,17088,1025,2062375
1697124518937.8943,3326,17094,1025,2062866
1697124519445.518,3319,17139,1025,2063379
1697124519952.2458,3326,17117,1025,2063883
1697124520458.0962,3326,17054,1025,2064385
1697124520962.5535,3326,17031,1025,2064890
1697124521449.8047,3326,17014,1025,2065384
1697124521960.9402,3326,17014,1025,2065898
1697124522487.61,3326,16997,1025,2066423
1697124522977.4773,3326,17122,1025,2066915
1697124523517.6335,3326,17088,1025,2067423
1697124523997.048,3326,17088,1025,2067931
1697124524483.2964,3316,17094,1025,2068415
1697124524982.5503,3324,16991,1025,2068915
1697124525476.713,3326,17054,1025,2069415
1697124525993.2117,3326,17122,1025,2069926
1697124526512.7395,3326,17088,1025,2070431
1697124526986.422,3315,17054,1025,2070932
1697124528042.3918,3326,17037,1025,2071975
1697124528537.5647,3323,17122,1025,2072470
1697124529037.478,3326,17065,1025,2072964
1697124529549.9705,3326,17088,1025,2073473
1697124530039.8176,3326,17054,1025,2073973
1697124530532.0696,3318,17122,1025,2074471
1697124531040.866,3326,17031,1025,2074981
1697124531584.2698,3326,17014,1025,2075507
1697124532553.5088,3321,17054,1025,2076482
1697124533041.641,3319,17122,1025,2076981
1697124533560.1836,3326,16997,1025,2077496
1697124534069.8108,3321,17122,1025,2077999
1697124534564.852,3326,17048,1025,2078499
1697124535108.077,3326,16997,1025,2079031
1697124535594.2842,3315,17122,1025,2079519
1697124536082.5916,3326,17122,1025,2080020
1697124536598.035,3326,17122,1025,2080530
1697124537101.7903,3326,17105,1025,2081044
1697124537602.344,3326,17117,1025,2081534
1697124538104.2268,3326,16997,1025,2082040
1697124538602.6975,3326,17088,1025,2082544
1697124539092.398,3326,16997,1025,2083031
1697124539608.302,3323,17003,1025,2083546
1697124540131.2566,3326,17065,1025,2084064
1697124540631.6555,3326,17020,1025,2084568
1697124541134.6582,3315,17105,1025,2085067
1697124541674.5217,3326,17128,1025,2085602
1697124542133.2583,3326,17088,1025,2086070
1697124542638.4744,3323,16997,1025,2086578
1697124543216.6665,3326,17094,1025,2087142
1697124543666.8418,3321,17094,1025,2087607
1697124544185.6729,3326,17014,1025,2088119
1697124544673.0664,3326,17094,1025,2088616
1697124545169.966,3325,17088,1025,2089115
1697124545681.525,3326,17122,1025,2089623
1697124546189.867,3326,17088,1025,2090122
1697124546697.8643,3326,16997,1025,2090633
1697124547189.822,3326,17094,1025,2091129
1697124547711.3481,3326,16997,1025,2091635
1697124548196.8098,3325,17031,1025,2092136
