BackendTime,state,value
1697124451479.9866,10,0
1697124451973.1987,10,0
1697124452480.7114,10,0
1697124452982.614,10,0
1697124453485.7268,10,0
1697124453989.2927,10,0
1697124454487.1206,10,0
1697124455007.0813,10,0
1697124455539.6677,10,0
1697124456018.1982,10,0
1697124456533.3054,10,0
1697124457040.0073,10,0
1697124457530.1682,10,0
1697124458034.4978,10,0
1697124458536.174,10,0
1697124459036.6243,10,0
1697124459550.2988,10,0
1697124460054.3628,10,0
1697124460555.1482,10,0
1697124461058.3457,10,0
1697124461567.6978,10,0
1697124462065.6248,10,0
1697124462573.7559,10,0
1697124463103.6836,10,0
1697124463613.339,10,0
1697124464092.2126,10,0
1697124464596.9194,10,0
1697124465100.8928,10,0
1697124473147.549,10,0
1697124473648.1243,10,0
1697124474159.7324,10,0
1697124474655.5896,10,0
1697124475156.0056,10,0
1697124475662.091,10,0
1697124476163.39,10,0
1697124476676.1265,10,0
1697124477185.193,10,0
1697124477681.261,10,0
1697124478186.6294,10,0
1697124478699.0918,10,0
1697124479185.8022,10,0
1697124479692.5562,10,0
1697124480207.068,10,0
1697124480708.581,10,0
1697124481220.108,10,0
1697124481716.5222,10,0
1697124482255.6602,10,0
1697124482731.557,10,0
1697124483236.1743,10,0
1697124483740.3428,10,0
1697124484242.9607,10,0
1697124484767.3728,10,0
1697124485272.345,10,0
1697124485758.3196,10,0
1697124486265.364,10,0
1697124486767.441,10,0
1697124487271.1716,10,0
1697124487774.786,10,0
1697124488276.638,10,0
1697124488778.9434,10,0
1697124489281.418,10,0
1697124489789.2598,10,0
1697124490292.5056,10,0
1697124490792.415,10,0
1697124491296.1753,10,0
1697124491799.8887,10,0
1697124492302.3018,10,0
1697124492805.7305,10,0
1697124493307.547,10,0
1697124493808.8008,10,0
1697124494310.6426,10,0
1697124494810.9,10,0
1697124495315.7366,10,0
1697124495818.464,10,0
1697124496357.8538,10,0
1697124496835.6074,10,0
1697124497338.5151,10,0
1697124497845.5417,10,0
1697124498353.0654,10,0
1697124498853.1892,10,0
1697124499358.0132,10,0
1697124499860.6726,10,0
1697124500365.0222,10,0
1697124500869.1355,10,0
1697124501370.2705,10,0
1697124501872.826,10,0
1697124502389.75,10,0
1697124502882.3093,10,0
1697124503387.2505,10,0
1697124503888.6326,10,0
1697124504392.9702,10,0
1697124504896.0159,10,0
1697124505399.057,10,0
1697124505915.6208,10,0
1697124506417.7688,10,0
1697124506909.4846,10,0
1697124507416.2854,10,0
1697124507921.4558,10,0
1697124508422.9766,10,0
1697124508926.619,10,0
1697124509431.6309,10,0
1697124509930.0867,10,0
1697124510473.848,10,0
1697124510947.5125,10,0
1697124511458.379,10,0
1697124511949.9517,10,0
1697124512450.5435,10,0
1697124512954.4463,10,0
1697124513471.1343,10,0
1697124513980.5984,10,0
1697124514474.532,10,0
1697124514976.8206,10,0
1697124515478.8403,10,0
1697124515983.4817,10,0
1697124516486.8638,10,0
1697124516987.5256,10,0
1697124517495.1064,10,0
1697124518033.994,10,0
1697124518507.8042,10,0
1697124519016.729,10,0
1697124519520.0322,10,0
1697124520024.4368,10,0
1697124520526.0386,10,0
1697124521030.8503,10,0
1697124521534.9907,10,0
1697124522040.8096,10,0
1697124522565.4348,10,0
1697124523045.1477,10,0
1697124523557.4329,10,0
1697124524053.3582,10,0
1697124524557.0886,10,0
1697124525056.0623,10,0
1697124525563.5986,10,0
1697124526069.4897,10,0
1697124526601.386,10,0
1697124527077.8992,10,0
1697124527589.2217,10,0
1697124528103.5164,10,0
1697124528603.3967,10,0
1697124529102.1106,10,0
1697124529603.0164,10,0
1697124530106.963,10,0
1697124530611.1675,10,0
1697124531112.16,10,0
1697124531622.8186,10,0
1697124532134.4285,10,0
1697124532631.9985,10,0
1697124533139.6267,10,0
1697124533639.3281,10,0
1697124534149.836,10,0
1697124534649.464,10,0
1697124535152.0242,10,0
1697124535656.2422,10,0
1697124536155.41,10,0
1697124536663.6033,10,0
1697124537165.5686,10,0
1697124537704.4446,10,0
1697124538174.514,10,0
1697124538683.3445,10,0
1697124539181.2046,10,0
1697124539688.7324,10,0
1697124540191.165,10,0
1697124540700.6672,10,0
1697124541188.1948,10,0
1697124541709.2358,10,0
1697124542198.5413,10,0
1697124542718.0647,10,0
1697124543225.9556,10,0
1697124543727.4758,10,0
1697124544227.7578,10,0
1697124544725.747,10,0
1697124545224.4902,10,0
1697124545728.2205,10,0
1697124546231.7456,10,0
1697124546728.7832,10,0
1697124547235.6199,10,0
1697124547746.9807,10,0
1697124548254.9995,10,0
1697124548754.4023,10,0
1697124549252.7969,10,0
1697124549767.7869,10,0
1697124550247.2737,10,0
1697124550760.0405,10,0
1697124551271.732,10,0
1697124551777.2388,10,0
1697124552281.42,10,0
1697124552779.0647,10,0
1697124553281.9177,10,0
1697124553778.9622,10,0
1697124554292.1165,10,0
1697124554820.828,10,0
1697124555303.6438,10,0
1697124555807.1755,10,0
1697124556384.146,10,0
1697124556840.094,10,0
1697124557328.6963,10,0
1697124557833.6326,10,0
1697124558343.0552,10,0
1697124558834.5942,10,0
1697124559370.95,10,0
1697124559848.5078,10,0
1697124560361.1484,10,0
1697124560861.674,10,0
1697124561361.9568,10,0
1697124561863.2998,10,0
1697124562366.2153,10,0
1697124562871.9727,10,0
1697124563376.122,10,0
1697124563872.1978,10,0
1697124564376.3054,10,0
1697124564882.329,10,0
1697124565400.0532,10,0
1697124565885.9976,10,0
1697124566391.163,10,0
1697124566896.5022,10,0
1697124567420.029,10,0
1697124568026.5898,10,0
1697124568418.729,10,0
1697124568922.623,10,0
1697124569418.7224,10,0
1697124569921.8652,10,0
1697124570425.2715,10,0
1697124570927.294,10,0
1697124571502.7683,10,0
1697124571966.538,10,0
1697124572454.528,10,0
1697124572963.3247,10,0
1697124573462.794,10,0
1697124573977.285,10,0
1697124574477.62,10,0
1697124574981.4514,10,0
1697124575480.777,10,0
1697124575975.447,10,0
1697124576488.5444,10,0
1697124576991.7754,10,0
1697124577486.9531,10,0
1697124578001.9148,10,0
1697124578509.8396,10,0
1697124579009.227,10,0
1697124579532.0044,10,0
1697124580017.495,10,0
1697124580519.839,10,0
1697124581026.6929,10,0
1697124581535.058,10,0
1697124582029.6536,10,0
1697124582542.8354,10,0
1697124583048.723,10,0
1697124583590.2334,10,0
1697124584102.784,10,0
1697124584550.257,10,0
1697124585074.6287,10,0
1697124585577.2595,10,0
1697124586074.1536,10,0
1697124586593.4236,10,0
1697124587068.5068,10,0
1697124587593.352,10,0
1697124588100.2056,10,0
1697124588591.2712,10,0
1697124589101.1453,10,0
1697124589602.4417,10,0
1697124590109.4404,10,0
1697124590614.638,10,0
1697124591116.847,10,0
1697124591620.404,10,0
1697124592126.7412,10,0
1697124592628.8938,10,0
1697124593129.9746,10,0
1697124593636.2588,10,0
1697124594137.096,10,0
1697124594640.7832,10,0
1697124595140.973,10,0
1697124595645.7651,10,0
1697124596162.2815,10,0
1697124596654.7031,10,0
1697124597163.8582,10,0
1697124597661.8906,10,0
1697124598165.956,10,0
1697124598672.7966,10,0
1697124599172.351,10,0
1697124599673.9119,10,0
1697124600179.553,10,0
1697124600699.5618,10,0
1697124601184.3894,10,0
1697124601694.8293,10,0
1697124602195.504,10,0
1697124602709.3977,10,0
1697124603201.2473,10,0
1697124603751.3064,10,0
1697124604233.7432,10,0
1697124604730.2708,10,0
1697124605231.3008,10,0
1697124605734.4854,10,0
1697124606235.9587,10,0
1697124606776.08,10,0
1697124607274.53,10,0
1697124607774.2097,10,0
1697124608277.7058,10,0
1697124608784.2502,10,0
1697124609289.6118,10,0
1697124609790.9194,10,0
1697124610295.6956,10,0
1697124610805.3862,10,0
1697124611308.1926,10,0
1697124611812.6455,10,0
1697124612315.966,10,0
1697124612818.5999,10,0
1697124613323.9714,10,0
1697124613830.1038,10,0
1697124614336.6519,10,0
1697124614841.6804,10,0
1697124615349.0957,10,0
1697124615854.5547,10,0
1697124616360.0603,10,0
1697124616862.9346,10,0
1697124617361.741,10,0
1697124617865.0227,10,0
1697124618368.0146,10,0
1697124618899.677,10,0
1697124619388.0903,10,0
1697124619892.7415,10,0
1697124620417.3918,10,0
1697124620902.0427,10,0
1697124621413.131,10,0
1697124621908.1194,10,0
1697124622412.3796,10,0
1697124622926.5647,10,0
1697124623429.1333,10,0
1697124623929.2449,10,0
1697124624441.9011,10,0
1697124624959.8594,10,0
1697124625447.4065,10,0
1697124625947.4082,10,0
1697124626452.6433,10,0
1697124626952.6763,10,0
1697124627454.1885,10,0
1697124627967.7314,10,0
1697124628461.6594,10,0
1697124628963.564,10,0
1697124629968.5334,10,0
1697124630480.8723,10,0
1697124631018.171,10,0
1697124631528.9482,10,0
1697124632016.3552,10,0
1697124632510.0369,10,0
1697124632993.0056,10,0
1697124633496.443,10,0
1697124634001.0767,10,0
1697124634508.9998,10,0
1697124635009.2979,10,0
1697124635511.6804,10,0
1697124636028.1873,10,0
1697124636525.243,10,0
1697124637025.6147,10,0
1697124637534.8096,10,0
1697124638038.9817,10,0
1697124638538.8235,10,0
1697124639077.8071,10,0
1697124639554.6113,10,0
1697124640055.7603,10,0
1697124640550.9434,10,0
1697124641053.8179,10,0
1697124641556.4783,10,0
1697124642061.005,10,0
1697124642572.1152,10,0
1697124643073.4595,10,0
1697124643583.5466,10,0
1697124644082.63,10,0
1697124644595.375,10,0
1697124645091.0916,10,0
1697124645592.4307,10,0
1697124646097.3591,10,0
1697124646597.4922,10,0
1697124647113.0005,10,0
1697124647612.1316,10,0
1697124648138.0564,10,0
1697124648618.947,10,0
1697124649120.171,10,0
1697124649621.8516,10,0
1697124650137.272,10,0
1697124650630.213,10,0
1697124651129.419,10,0
1697124651641.294,10,0
1697124652142.528,10,0
1697124652642.6113,10,0
1697124653139.931,10,0
1697124653645.9673,10,0
1697124654148.3926,10,0
1697124654656.8665,10,0
1697124655204.95,10,0
1697124655728.5925,10,0
1697124656160.7126,10,0
1697124656667.338,10,0
1697124657161.339,10,0
1697124657668.5173,10,0
1697124658168.353,10,0
1697124658668.8228,10,0
1697124659186.7283,10,0
1697124659752.145,10,0
1697124660197.7183,10,0
1697124660696.3687,10,0
1697124661199.899,10,0
1697124661726.0925,10,0
1697124662218.7168,10,0
1697124662726.9417,10,0
1697124663289.4324,10,0
1697124663756.5115,10,0
1697124664258.1658,10,0
1697124664765.6301,10,0
1697124665255.3372,10,0
1697124665758.8157,10,0
1697124666257.8132,10,0
1697124666756.4177,10,0
1697124667276.85,10,0
1697124667763.881,10,0
1697124668289.887,10,0
1697124668787.573,10,0
1697124669280.3367,10,0
1697124669790.7866,10,0
1697124670277.905,10,0
1697124670796.9434,10,0
1697124671285.7024,10,0
1697124671797.2205,10,0
1697124672297.023,10,0
1697124672865.547,10,0
1697124673326.2646,10,0
1697124673834.8567,10,0
1697124674332.5378,10,0
1697124674841.4968,10,0
1697124675340.2998,10,0
1697124675843.4055,10,0
1697124676430.6665,10,0
1697124676865.49,10,0
1697124677357.3982,10,0
1697124677850.8325,10,0
1697124678354.6475,10,0
1697124678855.073,10,0
1697124679428.2017,10,0
1697124679867.87,10,0
1697124680381.9036,10,0
1697124680884.0325,10,0
1697124681386.1401,10,0
1697124681881.8936,10,0
1697124682389.5596,10,0
1697124682875.3823,10,0
1697124683397.6614,10,0
1697124683883.6982,10,0
1697124684403.6118,10,0
1697124684914.1077,10,0
1697124685419.3552,10,0
1697124685925.6426,10,0
1697124686422.104,10,0
1697124686938.0579,10,0
1697124687460.702,10,0
1697124687977.3474,10,0
1697124688445.1416,10,0
1697124688940.8086,10,0
1697124689449.9663,10,0
1697124689949.6567,10,0
1697124690452.6592,10,0
1697124690961.3442,10,0
1697124691553.6284,10,0
1697124692002.2126,10,0
1697124692499.2488,10,0
1697124692990.8308,10,0
1697124693491.3733,10,0
1697124693996.594,10,0
1697124694514.385,10,0
1697124695004.865,10,0
1697124695510.5647,10,0
1697124696016.599,10,0
1697124696536.227,10,0
1697124697023.0815,10,0
1697124697524.1208,10,0
1697124698041.0881,10,0
1697124698530.0603,10,0
1697124699035.3728,10,0
1697124699537.0127,10,0
1697124700042.943,10,0
1697124700549.1406,10,0
1697124701053.6802,10,0
1697124701562.768,10,0
1697124702060.358,10,0
1697124702563.9658,10,0
1697124703064.5896,10,0
1697124703609.4312,10,0
1697124704070.7188,10,0
1697124704579.0537,10,0
1697124705069.7573,10,0
1697124705583.5735,10,0
1697124706091.6353,10,0
1697124706631.7043,10,0
1697124707093.2974,10,0
1697124707595.9004,10,0
1697124708095.1655,10,0
1697124708602.2869,10,0
1697124709114.948,10,0
1697124709613.158,10,0
1697124710119.1238,10,0
1697124710626.2322,10,0
1697124711121.4463,10,0
1697124711750.1768,10,0
1697124712146.248,10,0
1697124712650.655,10,0
1697124713154.2026,10,0
1697124713656.936,10,0
1697124714157.0623,10,0
1697124714663.6067,10,0
1697124715170.648,10,0
1697124715676.4792,10,0
1697124716175.8066,10,0
1697124716677.3203,10,0
1697124717177.2842,10,0
1697124717695.7173,10,0
1697124718182.479,10,0
1697124718708.9004,10,0
1697124719187.6494,10,0
1697124719705.5942,10,0
1697124720228.9473,10,0
1697124720735.4182,10,0
1697124721265.3123,10,0
1697124721772.663,10,0
1697124722252.5955,10,0
1697124722737.7412,10,0
1697124723238.9634,10,0
1697124723768.3354,10,0
1697124724269.645,10,0
1697124724764.0178,10,0
1697124725276.9158,10,0
1697124725774.9443,10,0
1697124726282.0747,10,0
1697124726809.2917,10,0
1697124727304.5603,10,0
1697124727808.9602,10,0
1697124728304.9998,10,0
1697124728805.1077,10,0
1697124729308.1543,10,0
1697124729807.637,10,0
1697124730314.6875,10,0
1697124730818.3806,10,0
1697124731320.4739,10,0
1697124731846.2747,10,0
1697124732344.4363,10,0
1697124732858.1345,10,0
1697124733345.5767,10,0
1697124733846.779,10,0
1697124734347.897,10,0
1697124734848.231,10,0
1697124735356.6736,10,0
1697124735868.278,10,0
1697124736384.7717,10,0
1697124736866.635,10,0
1697124737376.9573,10,0
1697124737880.6536,10,0
1697124738381.4263,10,0
1697124738892.531,10,0
1697124739429.1948,10,0
1697124739912.1519,10,0
1697124740399.079,10,0
1697124740908.7144,10,0
1697124741408.3162,10,0
1697124741915.577,10,0
1697124742426.165,10,0
1697124742961.6416,10,0
1697124743420.5425,10,0
1697124743923.7124,10,0
1697124744425.1045,10,0
1697124744935.5315,10,0
1697124745432.1128,10,0
1697124745933.394,10,0
1697124746438.2446,10,0
1697124746946.671,10,0
1697124747445.712,10,0
1697124747952.0244,10,0
1697124748465.339,10,0
1697124748960.2534,10,0
1697124749465.5886,10,0
1697124749962.2717,10,0
1697124750466.8015,10,0
1697124750973.2207,10,0
1697124751488.2715,10,0
1697124751994.5603,10,0
1697124752483.9338,10,0
1697124752978.419,10,0
1697124753481.0935,10,0
1697124753993.1812,10,0
1697124754503.0964,10,0
1697124755026.3215,10,0
1697124755503.3777,10,0
1697124756012.7512,10,0
1697124756511.935,10,0
1697124757012.9363,10,0
1697124757514.5203,10,0
1697124758019.2788,10,0
